Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,15,21,36,2
Bears,10,19,32,0
Bengals,17,18,35,0
Bills,29,17,49,4
Broncos,11,20,35,1
Browns,13,15,29,2
Buccaneers,8,29,41,4
Cardinals,20,28,51,1
Chargers,10,33,48,0
Chiefs,15,19,42,2
Colts,13,32,47,2
Cowboys,24,25,49,0
Dolphins,14,27,45,1
Eagles,16,16,37,4
Falcons,20,38,63,2
Giants,6,26,36,0
Jaguars,8,24,34,2
Jets,10,16,28,1
Lions,9,24,36,1
Packers,11,40,51,2
Panthers,16,21,40,3
Patriots,19,32,51,1
Raiders,17,29,47,5
Rams,9,14,24,0
Ravens,10,20,32,4
Redskins,17,25,43,0
Saints,17,38,55,2
Seahawks,13,23,37,1
Steelers,13,33,47,3
Texans,8,15,25,0
Titans,16,29,46,0
Vikings,9,20,36,1
