Team,INT,INT TD,INT Yds,Lng
49ers,10,0,96,39
Bears,8,1,73,25
Bengals,17,0,138,47
Bills,12,1,207,49
Broncos,14,3,367,51T
Browns,10,1,146,67
Buccaneers,17,4,234,53
Cardinals,14,2,263,66T
Chargers,18,3,292,90T
Chiefs,18,4,271,55T
Colts,8,0,100,56
Cowboys,9,0,75,27
Dolphins,16,1,186,60T
Eagles,16,3,207,64T
Falcons,12,3,279,90T
Giants,17,1,174,44T
Jaguars,7,1,104,35
Jets,8,0,141,51
Lions,10,1,96,39T
Packers,17,0,209,44
Panthers,17,1,204,37
Patriots,13,0,109,46
Raiders,16,1,147,40
Rams,10,0,71,29
Ravens,18,0,178,53
Redskins,13,0,186,79
Saints,9,0,109,30
Seahawks,11,0,72,31
Steelers,13,0,133,58
Texans,11,1,132,42T
Titans,12,0,68,33
Vikings,14,2,253,100T
