Team,FGM,FG %,XPM,XP Pct,KRet TD,PRet T
49ers,18,85.7,33,97.1,0,0
Bears,18,78.3,31,96.9,0,1
Bengals,28,80.0,29,82.9,0,0
Bills,19,76.0,40,88.9,0,0
Broncos,29,85.3,32,97.0,0,0
Browns,21,77.8,23,92.0,0,0
Buccaneers,22,71.0,32,94.1,0,0
Cardinals,21,75.0,43,91.5,0,0
Chargers,26,81.3,42,91.3,0,0
Chiefs,31,88.6,36,92.3,1,2
Colts,27,87.1,44,100.0,1,0
Cowboys,27,84.4,46,100.0,0,0
Dolphins,16,76.2,41,97.6,1,1
Eagles,35,85.4,30,96.8,2,0
Falcons,34,91.9,56,98.2,0,0
Giants,21,95.5,31,88.6,0,0
Jaguars,27,79.4,29,90.6,1,0
Jets,27,87.1,24,92.3,0,0
Lions,31,86.1,31,93.9,0,2
Packers,26,86.7,44,93.6,0,0
Panthers,30,78.9,31,91.2,0,0
Patriots,27,84.4,46,93.9,0,0
Raiders,29,82.9,37,94.9,0,0
Rams,19,86.4,23,100.0,0,0
Ravens,38,97.4,27,100.0,0,0
Redskins,34,81.0,36,92.3,0,1
Saints,28,82.4,49,98.0,0,0
Seahawks,33,89.2,29,82.9,0,0
Steelers,24,85.7,37,100.0,0,0
Texans,35,85.4,22,88.0,0,1
Titans,22,91.7,39,95.1,0,0
Vikings,27,87.1,26,78.8,1,2
