Team,FR TD,SFTY,INT TD
49ers,0,1,0
Bears,1,1,1
Bengals,0,1,0
Bills,2,0,1
Broncos,1,0,3
Browns,0,0,1
Buccaneers,0,1,4
Cardinals,1,2,2
Chargers,2,1,3
Chiefs,1,1,4
Colts,1,0,0
Cowboys,0,0,0
Dolphins,0,0,1
Eagles,0,1,3
Falcons,2,0,3
Giants,2,0,1
Jaguars,0,0,1
Jets,0,0,0
Lions,0,2,1
Packers,0,0,0
Panthers,2,1,1
Patriots,0,3,0
Raiders,0,0,1
Rams,1,0,0
Ravens,1,0,0
Redskins,0,0,0
Saints,0,1,0
Seahawks,1,1,0
Steelers,1,1,0
Texans,0,1,1
Titans,1,0,0
Vikings,2,1,2
