Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,15,10,0,3,8
Bears,11,3,1,3,3
Bengals,6,3,0,3,4
Bills,11,6,2,2,10
Broncos,16,13,1,5,8
Browns,6,3,0,1,3
Buccaneers,16,12,0,7,4
Cardinals,21,14,1,2,11
Chargers,14,10,2,3,6
Chiefs,16,15,1,6,8
Colts,15,9,1,6,4
Cowboys,18,11,0,6,8
Dolphins,16,9,0,6,7
Eagles,15,10,0,4,2
Falcons,17,10,2,6,6
Giants,15,8,2,5,5
Jaguars,10,6,0,1,7
Jets,14,4,0,2,12
Lions,8,4,0,1,5
Packers,9,8,0,3,1
Panthers,18,10,2,4,5
Patriots,16,10,0,4,11
Raiders,20,14,0,5,11
Rams,12,8,1,5,3
Ravens,14,10,1,1,10
Redskins,17,7,0,2,10
Saints,11,12,0,7,5
Seahawks,16,8,1,2,8
Steelers,16,10,1,4,5
Texans,7,6,0,2,8
Titans,4,6,1,1,5
Vikings,13,13,2,2,12
