Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,22,26,50,2
Bears,14,16,33,3
Bengals,16,36,54,1
Bills,20,36,57,3
Broncos,16,20,37,1
Browns,20,21,43,3
Buccaneers,18,43,63,1
Cardinals,23,27,52,0
Chargers,18,38,58,7
Chiefs,16,37,57,2
Colts,22,27,52,2
Cowboys,15,40,64,6
Dolphins,12,21,39,2
Eagles,25,20,50,5
Falcons,11,20,33,1
FootballTeam,13,21,37,2
Giants,8,15,24,4
Jaguars,13,12,28,2
Jets,14,20,36,4
Lions,12,23,35,5
Packers,13,39,54,1
Panthers,17,14,32,3
Patriots,24,24,51,3
Raiders,14,23,37,0
Rams,10,41,52,2
Ravens,18,21,41,2
Saints,12,29,43,0
Seahawks,18,30,49,1
Steelers,10,23,34,2
Texans,8,21,31,2
Titans,23,22,49,2
Vikings,10,34,48,1
