Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,372,3874,10.4,25,54,11,91,180,48.4,9,55
Bears,314,3623,11.5,31,48,12,83,170,54.1,2,53
Bengals,420,4498,10.7,26,65,8,60T,213,50.7,6,60
Bills,297,3047,10.3,12,31,6,73T,138,46.5,4,77
Broncos,341,3901,11.4,22,48,11,59,192,56.3,0,72
Browns,367,3712,10.1,29,45,5,75T,184,50.1,4,76
Buccaneers,445,4347,9.8,26,55,5,75T,214,48.1,8,80
Cardinals,367,3872,10.6,30,43,7,64T,192,52.3,6,70
Chargers,357,3992,11.2,27,53,12,71T,199,55.7,5,56
Chiefs,401,4482,11.2,27,52,13,72T,209,52.1,5,64
Colts,390,4203,10.8,32,43,8,69T,213,54.6,4,66
Cowboys,364,4346,11.9,24,62,14,75T,191,52.5,4,79
Dolphins,373,4251,11.4,23,62,7,64,199,53.4,8,88
Eagles,409,3976,9.7,28,38,7,64,208,50.9,3,55
Falcons,391,4104,10.5,31,51,0,38,214,54.7,3,75
FootballTeam,400,4520,11.3,34,51,10,72T,220,55.0,5,59
Giants,402,4044,10.1,27,42,6,59T,216,53.7,4,81
Jaguars,377,4111,10.9,24,55,7,55,198,52.5,3,50
Jets,401,4682,11.7,28,73,9,65T,234,58.4,5,59
Lions,359,4361,12.1,31,56,11,79T,211,58.8,6,65
Packers,379,4021,10.6,31,44,15,79T,194,51.2,0,73
Panthers,337,3559,10.6,26,46,7,62,170,50.4,2,52
Patriots,319,3437,10.8,21,38,4,67T,176,55.2,3,85
Raiders,400,3996,10.0,29,43,10,52,202,50.5,3,71
Rams,416,4476,10.8,17,53,10,63T,214,51.4,4,67
Ravens,397,4986,12.6,31,74,16,82T,232,58.4,1,72
Saints,369,4131,11.2,20,56,11,84T,185,50.1,4,80
Seahawks,443,4766,10.8,24,49,8,76T,240,54.2,1,79
Steelers,355,3977,11.2,24,44,6,62T,186,52.4,7,76
Texans,363,4342,12.0,27,55,12,68,218,60.1,4,63
Titans,395,4485,11.4,24,60,11,68T,204,51.6,7,80
Vikings,401,4678,11.7,29,56,5,77T,224,55.9,3,64
