Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,220,88,25,11,180,48.4,97,22.1,1032
Bears,211,81,24,12,170,54.1,116,24.0,1009
Bengals,221,92,18,7,213,50.7,107,26.3,1075
Bills,214,66,35,16,138,46.5,108,24.4,1014
Broncos,225,101,26,11,192,56.3,99,22.4,1039
Browns,219,86,25,16,184,50.1,108,24.7,1056
Buccaneers,226,87,28,13,214,48.1,94,25.7,1093
Cardinals,207,79,30,14,192,52.3,109,25.6,1028
Chargers,216,107,22,7,199,55.7,144,28.3,1103
Chiefs,199,80,31,19,209,52.1,121,28.9,1060
Colts,210,85,21,12,213,54.6,101,24.0,1050
Cowboys,223,76,26,16,191,52.5,99,23.1,1082
Dolphins,231,95,18,11,199,53.4,106,24.9,1081
Eagles,217,93,29,14,208,50.9,115,25.1,1076
Falcons,217,105,22,11,214,54.7,143,27.6,1114
FootballTeam,229,111,20,12,220,55.0,101,23.5,1065
Giants,226,90,23,15,216,53.7,126,25.6,1137
Jaguars,221,95,21,14,198,52.5,124,25.2,1068
Jets,223,99,21,13,234,58.4,129,24.6,1145
Lions,204,92,14,9,211,58.8,135,26.1,1092
Packers,203,87,33,15,194,51.2,120,30.4,1037
Panthers,217,82,21,12,170,50.4,112,23.6,1028
Patriots,211,77,32,17,176,55.2,111,23.9,1038
Raiders,230,91,29,21,202,50.5,109,23.6,1103
Rams,223,92,32,17,214,51.4,111,25.1,1118
Ravens,201,70,18,11,232,58.4,81,21.4,1033
Saints,240,89,21,9,185,50.1,84,19.7,1064
Seahawks,224,88,31,13,240,54.2,124,24.4,1201
Steelers,232,86,24,13,186,52.4,144,28.9,1116
Texans,206,89,19,11,218,60.1,135,25.8,1101
Titans,210,77,24,14,204,51.6,90,24.5,1039
Vikings,214,78,30,15,224,55.9,131,27.6,1152
