Team,FR TD,SFTY,INT TD
49ers,0,0,2
Bears,1,1,1
Bengals,1,0,1
Bills,0,0,1
Broncos,0,0,1
Browns,1,0,1
Buccaneers,0,0,2
Cardinals,1,0,1
Chargers,1,0,0
Chiefs,2,0,2
Colts,1,1,0
Cowboys,1,0,5
Dolphins,2,0,3
Eagles,3,0,2
Falcons,0,1,2
FootballTeam,0,0,2
Giants,0,1,1
Jaguars,0,0,0
Jets,0,0,1
Lions,0,0,0
Packers,0,0,2
Panthers,0,1,0
Patriots,0,0,3
Raiders,0,1,0
Rams,0,0,0
Ravens,0,0,1
Saints,0,0,2
Seahawks,0,1,0
Steelers,0,0,0
Texans,0,1,1
Titans,1,0,2
Vikings,0,0,2
