Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers,439,1760,4.0,17,11,1,73T,97,22.1,11
Bears,483,2127,4.4,14,12,0,39,116,24.0,5
Bengals,407,1742,4.3,15,8,2,70T,107,26.3,6
Bills,442,1866,4.2,19,12,4,76T,108,24.4,7
Broncos,441,1892,4.3,9,10,0,35,99,22.4,4
Browns,437,1857,4.2,13,9,2,57T,108,24.7,6
Buccaneers,366,1573,4.3,11,11,1,55,94,25.7,4
Cardinals,426,1952,4.6,10,8,2,62T,109,25.6,6
Chargers,509,2361,4.6,22,13,1,52T,144,28.3,4
Chiefs,419,1999,4.8,15,11,1,47T,121,28.9,10
Colts,420,1854,4.4,10,10,2,66T,101,24.0,10
Cowboys,429,1918,4.5,13,14,0,33,99,23.1,3
Dolphins,425,1867,4.4,16,13,1,46T,106,24.9,6
Eagles,458,1834,4.0,18,10,0,38,115,25.1,6
Falcons,519,2242,4.3,19,7,0,27,143,27.6,8
FootballTeam,430,1775,4.1,14,8,2,46,101,23.5,6
Giants,492,2193,4.5,15,5,1,70T,126,25.6,3
Jaguars,493,2127,4.3,22,12,1,52T,124,25.2,4
Jets,525,2351,4.5,28,16,3,78T,129,24.6,10
Lions,518,2296,4.4,19,14,1,48,135,26.1,3
Packers,395,1855,4.7,13,8,0,38,120,30.4,5
Panthers,474,1935,4.1,16,9,2,55T,112,23.6,9
Patriots,464,2103,4.5,9,13,3,75,111,23.9,6
Raiders,462,1943,4.2,18,13,1,51T,109,23.6,7
Rams,443,1754,4.0,18,4,2,54,111,25.1,6
Ravens,378,1436,3.8,13,7,2,66,81,21.4,2
Saints,426,1589,3.7,12,9,1,58T,84,19.7,4
Seahawks,509,1932,3.8,16,8,1,60T,124,24.4,5
Steelers,498,2483,5.0,17,24,3,49,144,28.9,7
Texans,523,2418,4.6,25,9,2,83,135,25.8,10
Titans,368,1438,3.9,14,3,1,58,90,24.5,4
Vikings,475,2222,4.7,15,9,1,49,131,27.6,4
