Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
49ers,27,32,84.4,0_0,7_7,6_6,13_9,6_5,56,0
Bears,26,30,86.7,0_0,10_10,5_5,13_11,2_0,47,1
Bengals,29,34,85.3,0_0,5_5,9_9,9_6,11_9,58,0
Bills,28,32,87.5,0_0,15_15,8_7,5_4,4_2,57,0
Broncos,26,31,83.9,0_0,8_7,6_6,8_8,9_5,61,1
Browns,16,22,72.7,0_0,3_3,5_5,10_4,4_4,57,1
Buccaneers,25,31,80.6,0_0,11_11,8_7,10_7,2_0,48,0
Cardinals,30,37,81.1,0_0,11_11,11_9,5_3,10_7,62,0
Chargers,24,27,88.9,1_1,8_8,6_6,9_8,3_1,50,0
Chiefs,28,32,87.5,0_0,3_3,14_13,6_5,9_7,56,0
Colts,29,35,82.9,0_0,7_7,11_9,15_13,2_0,48,1
Cowboys,29,35,82.9,0_0,5_5,16_15,9_7,5_2,56,0
Dolphins,23,31,74.2,0_0,6_6,9_7,10_8,6_2,51,3
Eagles,30,33,90.9,0_0,7_7,10_10,13_10,3_3,58,1
Falcons,27,29,93.1,0_0,8_8,9_9,7_6,5_4,54,0
FootballTeam,28,33,84.8,0_0,10_10,5_5,14_10,4_3,55,3
Giants,29,33,87.9,0_0,5_5,13_12,5_5,10_7,55,0
Jaguars,21,27,77.8,0_0,7_7,7_7,5_3,8_4,56,0
Jets,21,27,77.8,0_0,7_7,8_8,8_5,4_1,51,0
Lions,26,30,86.7,0_0,4_4,11_11,12_10,3_1,52,0
Packers,25,34,73.5,0_0,9_9,13_9,8_4,4_3,54,2
Panthers,26,29,89.7,0_0,10_10,3_3,11_10,5_3,57,1
Patriots,36,39,92.3,0_0,9_9,11_11,11_11,8_5,53,0
Raiders,40,43,93.0,0_0,11_10,12_12,13_12,7_6,56,0
Rams,32,34,94.1,0_0,6_6,15_15,8_7,5_4,55,0
Ravens,35,37,94.6,0_0,7_7,9_9,15_13,6_6,66,0
Saints,25,30,83.3,0_0,8_8,13_11,5_5,4_1,52,0
Seahawks,17,23,73.9,0_0,2_2,11_9,5_3,5_3,53,0
Steelers,36,40,90.0,0_0,9_9,9_8,13_11,9_8,56,0
Texans,21,27,77.8,0_0,7_7,5_5,6_3,9_6,61,1
Titans,26,32,81.3,0_0,5_5,12_12,14_8,1_1,51,0
Vikings,33,38,86.8,0_0,8_8,12_11,9_7,9_7,55,0
