Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,22,11,0,9,11
Bears,14,8,1,2,5
Bengals,17,8,1,6,6
Bills,12,11,0,4,7
Broncos,6,6,0,0,4
Browns,12,6,1,4,6
Buccaneers,16,12,0,8,4
Cardinals,21,14,1,6,6
Chargers,19,10,1,5,4
Chiefs,18,14,2,5,10
Colts,18,14,1,4,10
Cowboys,13,8,1,4,3
Dolphins,14,12,2,8,6
Eagles,13,4,3,3,6
Falcons,14,8,0,3,8
FootballTeam,9,7,0,5,6
Giants,12,7,0,4,3
Jaguars,9,2,0,3,4
Jets,13,7,0,5,10
Lions,10,8,0,6,3
Packers,10,8,0,0,5
Panthers,14,7,0,2,9
Patriots,11,7,0,3,6
Raiders,13,9,0,3,7
Rams,15,6,0,4,6
Ravens,8,6,0,1,2
Saints,13,7,0,4,4
Seahawks,9,7,0,1,5
Steelers,18,9,0,7,7
Texans,16,8,0,4,10
Titans,13,6,1,7,4
Vikings,13,8,0,3,4
