Team,INT,INT TD,INT Yds,Lng
49ers,9,2,136,40
Bears,8,1,135,53T
Bengals,13,1,266,65
Bills,19,1,238,26T
Broncos,13,1,221,70T
Browns,13,1,148,99T
Buccaneers,17,2,177,31T
Cardinals,13,1,247,77
Chargers,11,0,70,26
Chiefs,15,2,160,75T
Colts,19,0,175,32
Cowboys,26,5,405,66
Dolphins,14,3,175,85T
Eagles,12,2,142,51T
Falcons,12,2,202,66T
FootballTeam,11,2,120,31T
Giants,15,1,135,41T
Jaguars,7,0,57,23
Jets,7,1,114,32
Lions,11,0,108,50
Packers,18,2,164,55T
Panthers,9,0,103,29
Patriots,23,3,322,88T
Raiders,6,0,68,35
Rams,19,0,192,34
Ravens,9,1,38,21
Saints,18,2,313,53
Seahawks,11,0,92,29
Steelers,13,0,105,41
Texans,17,1,295,82
Titans,16,2,128,24T
Vikings,16,2,256,66T
