Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,343,4437,12.9,26,63,11,83,200,58.3,9
Bears,332,3635,10.9,16,40,7,64,180,54.2,1
Bengals,384,4806,12.5,36,63,16,82T,208,54.2,5
Bills,415,4450,10.7,36,51,8,61,236,56.9,8
Broncos,354,3856,10.9,20,46,7,64,179,50.6,2
Browns,320,3619,11.3,21,47,9,71T,177,55.3,3
Buccaneers,492,5383,10.9,43,76,10,62T,273,55.5,4
Cardinals,415,4619,11.1,27,62,11,77T,214,51.6,2
Chargers,443,5014,11.3,38,53,15,72T,256,57.8,5
Chiefs,448,4937,11.0,37,58,11,75T,267,59.6,4
Colts,324,3588,11.1,27,42,9,76T,167,51.5,5
Cowboys,444,4963,11.2,40,63,9,73T,248,55.9,4
Dolphins,404,3936,9.7,21,45,8,65T,206,51.0,2
Eagles,307,3585,11.7,20,51,5,91,167,54.4,2
Falcons,377,3987,10.6,20,44,7,64,196,52.0,7
FootballTeam,356,3746,10.5,21,42,7,73T,181,50.8,4
Giants,351,3463,9.9,15,31,6,60,171,48.7,4
Jaguars,361,3674,10.2,12,44,5,58,178,49.3,5
Jets,357,3959,11.1,20,52,6,62T,195,54.6,6
Lions,396,3884,9.8,23,49,5,75T,193,48.7,2
Packers,402,4526,11.3,39,61,11,75T,235,58.5,5
Panthers,348,3573,10.3,14,36,5,64,174,50.0,1
Patriots,364,4098,11.3,24,60,8,75T,187,51.4,5
Raiders,429,4808,11.2,23,67,10,61T,217,50.6,5
Rams,406,4893,12.1,41,65,18,79T,233,57.4,2
Ravens,396,4267,10.8,21,54,6,49T,209,52.8,6
Saints,293,3437,11.7,29,41,8,72T,165,56.3,3
Seahawks,324,3815,11.8,30,56,12,84T,166,51.2,6
Steelers,425,4017,9.5,23,41,9,59,204,48.0,4
Texans,354,3630,10.3,21,44,8,67T,162,45.8,5
Titans,359,3745,10.4,22,35,7,57T,194,54.0,4
Vikings,398,4450,11.2,34,63,10,64T,202,50.8,3
