Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
49ers,545,372,68.3,7.1,3510,25,9,97.0,180,33.0,54,11,91,48
Bears,477,314,65.8,7.6,3257,31,8,103.3,170,35.6,48,12,83,49
Bengals,626,420,67.1,7.2,4222,26,13,93.1,213,34.0,65,8,60T,42
Bills,530,297,56.0,5.7,2771,12,19,65.3,138,26.0,31,6,73T,42
Broncos,562,341,60.7,6.9,3652,22,13,85.0,192,34.2,48,11,59,36
Browns,576,367,63.7,6.4,3439,29,13,89.4,184,31.9,45,5,75T,43
Buccaneers,680,445,65.4,6.4,4062,26,17,85.6,214,31.5,55,5,75T,47
Cardinals,561,367,65.4,6.9,3645,30,13,93.5,192,34.2,43,7,64T,41
Chargers,559,357,63.9,7.1,3761,27,11,93.0,199,35.6,53,12,71T,35
Chiefs,610,401,65.7,7.3,4273,27,15,92.0,209,34.3,52,13,72T,31
Colts,597,390,65.3,7.0,3980,32,19,90.5,213,35.7,43,8,69T,33
Cowboys,612,364,59.5,7.1,4049,24,26,76.6,191,31.2,62,14,75T,41
Dolphins,608,373,61.3,7.0,3871,23,14,85.4,199,32.7,62,7,64,48
Eagles,589,409,69.4,6.8,3756,28,12,95.4,208,35.3,38,7,64,29
Falcons,577,391,67.8,7.1,3952,31,12,97.4,214,37.1,51,0,38,18
FootballTeam,597,400,67.0,7.6,4333,34,11,100.8,220,36.9,51,10,72T,38
Giants,611,402,65.8,6.6,3839,27,15,89.0,216,35.4,42,6,59T,34
Jaguars,543,377,69.4,7.6,3875,24,7,100.8,198,36.5,55,7,55,32
Jets,587,401,68.3,8.0,4409,28,7,103.2,234,39.9,73,9,65T,33
Lions,544,359,66.0,8.0,4160,31,11,101.0,211,38.8,56,11,79T,30
Packers,603,379,62.9,6.7,3724,31,18,86.9,194,32.2,44,15,79T,39
Panthers,515,337,65.4,6.9,3266,26,9,95.0,170,33.0,46,7,62,39
Patriots,538,319,59.3,6.4,3181,21,23,73.3,176,32.7,38,4,67T,36
Raiders,606,400,66.0,6.6,3789,29,6,96.4,202,33.3,43,10,52,35
Rams,625,416,66.6,7.2,4109,17,19,83.8,214,34.2,53,10,63T,50
Ravens,621,397,63.9,8.0,4742,31,9,99.4,232,37.4,74,16,82T,34
Saints,592,369,62.3,7.0,3821,20,18,81.7,185,31.3,56,11,84T,46
Seahawks,658,443,67.3,7.2,4513,24,11,93.6,240,36.5,49,8,76T,34
Steelers,563,355,63.1,7.1,3656,24,13,88.7,186,33.0,44,6,62T,55
Texans,546,363,66.5,8.0,4117,27,17,94.1,218,39.9,55,12,68,32
Titans,628,395,62.9,7.1,4169,24,16,86.4,204,32.5,60,11,68T,43
Vikings,626,401,64.1,7.5,4300,29,16,91.4,224,35.8,56,5,77T,51
