Player,INT,INT TD,INT Yds,Lng
Damontae Kazee,7,0,54,33
Xavien Howard,7,0,52,39
Kyle Fuller,7,0,52,35
Eddie Jackson,6,2,81,41
Shawn Williams,5,1,131,58
Alec Ogletree,5,2,61,20
D.J. Swearinger,4,0,33,22
Curtis Riley,4,1,67,46
Damarious Randall,4,0,59,50
Jordan Poyer,4,0,11,11
Steven Nelson,4,0,53,35
Trumaine Johnson,4,1,38,31
John Johnson,4,0,46,35
Donte Jackson,4,0,0,0
Duron Harmon,4,0,0,0
Kevin Byard,4,0,1,1
Andrew Adams,4,0,34,16
Denzel Ward,3,0,26,26
Earl Thomas,3,0,25,25
Harrison Smith,3,0,66,52
Darius Slay,3,1,107,67
Justin Simmons,3,0,8,8
Justin Reid,3,1,128,101
Jalen Ramsey,3,0,0,0
Brian Poole,3,0,2,2
Marcus Peters,3,1,107,50
Josh Norman,3,0,79,40
Kenny Moore II,3,0,52,32
Matt Milano,3,0,41,29
Bradley McDougald,3,0,39,39
T.J. McDonald,3,0,41,31
Cory Littleton,3,1,48,22
Darron Lee,3,1,82,36
Desmond King,3,1,75,42
Reshad Jones,3,1,109,54
Jonathan Jones,3,0,34,28
Derwin James,3,0,30,23
J.C. Jackson,3,0,9,9
Chris Harris,3,1,68,53
Anthony Harris,3,0,33,33
Andre Hal,3,0,2,2
Marcus Gilchrist,3,0,2,2
Rasul Douglas,3,0,14,17
Quandre Diggs,3,1,41,37
Gareon Conley,3,1,64,36
Ha Ha Clinton-Dix,3,0,25,24
Malcolm Butler,3,1,90,56
Tre Boston,3,0,9,9
Jessie Bates,3,1,42,21
Prince Amukamara,3,1,58,49
Kiko Alonso,3,0,30,15
Mike Adams,3,0,11,18
Xavier Woods,2,0,15,15
Marcus Williams,2,0,100,78
Tre'Davious White,2,0,37,37
Leighton Vander Esch,2,0,56,28
Danny Trevathan,2,0,12,12
Michael Thomas,2,0,26,26
Darian Stewart,2,0,3,3
Telvin Smith,2,1,33,33
Jimmy Smith,2,0,4,4
Patrick Peterson,2,0,0,0
Ron Parker,2,1,33,33
Reggie Nelson,2,0,0,0
Tyrann Mathieu,2,0,6,6
Avonte Maddox,2,0,23,23
Darius Leonard,2,0,38,28
Marshon Lattimore,2,0,0,0
Christian Kirksey,2,0,17,13
Eric Kendricks,2,0,3,3
Johnathan Joseph,2,1,46,28
Deion Jones,2,1,61,41
Janoris Jenkins,2,0,29,29
Kareem Jackson,2,0,24,13
Adoree' Jackson,2,0,7,7
Micah Hyde,2,0,16,16
Marlon Humphrey,2,0,0,0
Malik Hooker,2,0,34,27
Troy Hill,2,0,7,7
Erik Harris,2,0,22,21
Joe Haden,2,0,0,0
Shaquill Griffin,2,0,8,8
B.J. Goodson,2,0,8,5
Stephon Gilmore,2,0,0,0
Kendall Fuller,2,0,0,0
Mason Foster,2,0,4,4
Minkah Fitzpatrick,2,1,64,50
Tremaine Edmunds,2,0,19,17
Quinton Dunbar,2,0,21,24
Morris Claiborne,2,1,17,17
Brandon Carr,2,0,26,32
Bryce Callahan,2,0,12,12
Preston Brown,2,0,20,18
Bashaud Breeland,2,1,48,26
Chris Banjo,2,0,0,0
Eli Apple,2,0,29,29
Adrian Amos,2,0,27,26
Lorenzo Alexander,2,0,9,8
Isaac Yiadom,1,0,4,4
Daryl Worley,1,0,16,16
Derek Wolfe,1,0,2,2
Quincy Wilson,1,0,0,0
Avery Williamson,1,0,36,36
Vince Williams,1,1,17,17
Trevor Williams,1,0,86,86
P.J. Williams,1,1,45,45
Tahir Whitehead,1,0,0,0
Kyzir White,1,0,9,9
B.W. Webb,1,0,0,0
Trae Waynes,1,0,24,24
Tracy Walker III,1,0,0,0
Anthony Walker,1,0,11,11
Bobby Wagner,1,1,98,98
Kyle Van Noy,1,0,0,0
Kenny Vaccaro,1,0,0,0
Tavon Young,1,0,0,0
Tedric Thompson,1,0,0,0
Dymonte Thomas,1,0,0,0
Jaquiski Tartt,1,0,23,23
Aqib Talib,1,0,30,30
Cameron Sutton,1,0,0,0
Greg Stroman,1,0,23,23
Daniel Sorensen,1,1,54,54
Ryan Smith,1,0,0,0
Roquan Smith,1,0,22,22
Preston Smith,1,0,3,3
Sam Shields,1,0,22,22
Joe Schobert,1,0,0,0
Brennan Scarlett,1,0,8,8
Orlando Scandrick,1,0,0,0
Isaac Rochell,1,0,4,4
Bradley Roby,1,0,0,0
Nickell Robey-Coleman,1,0,0,0
Darryl Roberts,1,0,3,3
Denzel Rice,1,0,0,0
Xavier Rhodes,1,0,3,3
Eric Reid,1,0,39,39
Reggie Ragland,1,0,67,67
Adrian Phillips,1,0,0,0
Denzel Perryman,1,0,16,16
Jabrill Peppers,1,0,0,0
Will Parks,1,0,11,11
Patrick Onwuasor,1,0,33,33
Isaiah Oliver,1,0,0,0
George Odum,1,0,14,14
Efe Obada,1,0,0,0
Eric Murray,1,0,0,0
Captain Munnerlyn,1,0,2,2
C.J. Mosley,1,0,0,0
Fabian Moreau,1,0,16,16
Corey Moore,1,0,0,0
Terrance Mitchell,1,0,0,0
Mike Mitchell,1,0,47,47
Von Miller,1,0,42,42
Rashaan Melvin,1,0,15,15
Sherrick McManis,1,0,0,0
Benardrick McKinney,1,0,0,0
Jason McCourty,1,0,0,0
Devin McCourty,1,1,84,84
Bobby McCain,1,0,0,0
Marcus Maye,1,0,104,104
Khalil Mack,1,1,27,27
Aaron Lynch,1,0,20,20
Jordan Lucas,1,0,49,49
Jourdan Lewis,1,0,7,7
