Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Ka'imi Fairbairn,37,42,0.881,1/1,9/9,11/11,12/15,4/6,54,0
Justin Tucker,35,39,0.897,0,12/12,9/9,9/11,5/7,56,2
Jason Myers,33,36,0.917,0,4/4,13/14,10/11,6/7,56,0
Robbie Gould,33,34,0.971,0,9/9,13/13,9/10,2/2,53,0
Aldrick Rosas,32,33,0.97,0,9/9,13/13,6/6,4/5,57,0
Mason Crosby,30,37,0.811,0,4/4,10/11,11/15,5/7,53,0
Brett Maher,29,36,0.806,0,10/10,6/8,7/11,6/7,62,1
Matt Prater,28,32,0.875,0,8/8,12/12,5/7,3/5,54,0
Wil Lutz,28,30,0.933,1/1,5/5,9/9,11/12,2/3,54,1
Greg Zuerlein,27,31,0.871,0,9/9,10/10,4/6,4/6,56,0
Stephen Gostkowski,27,32,0.844,0,11/11,10/10,4/6,2/5,52,0
Ryan Succop,26,30,0.867,0,5/6,13/13,5/7,3/4,54,0
Dustin Hopkins,26,29,0.897,0,5/5,7/7,10/12,4/5,56,0
Jake Elliott,26,31,0.839,0,7/7,10/11,7/8,2/5,56,0
Harrison Butker,24,27,0.889,0,9/9,7/7,6/7,2/4,54,0
Adam Vinatieri,23,27,0.852,0,8/8,6/7,5/6,4/6,54,0
Cody Parkey,23,30,0.767,0,6/6,7/10,9/12,1/2,50,0
Sebastian Janikowski,22,27,0.815,0,2/2,9/11,8/9,3/5,56,0
Stephen Hauschka,22,28,0.786,0,3/3,8/8,7/10,4/7,54,1
Dan Bailey,21,28,0.75,0,5/6,11/11,4/9,1/2,52,1
Brandon McManus,20,25,0.8,0,5/5,6/6,7/7,2/7,53,0
Matt Bryant,20,21,0.952,0,4/4,5/5,7/7,4/5,57,0
Josh Lambo,19,21,0.905,0,4/4,8/8,3/4,4/5,57,0
Randy Bullock,19,23,0.826,0,4/4,7/8,6/6,2/5,51,2
Jason Sanders,18,20,0.9,0,7/7,3/3,7/9,1/1,50,0
Greg Joseph,17,20,0.85,0,4/4,7/7,5/7,1/2,51,0
Daniel Carlson,17,21,0.81,0,2/2,3/4,9/12,3/3,98,0
Chandler Catanzaro,16,20,0.8,0,4/4,9/10,3,3/3,110,0
Mike Badgley,15,16,0.938,0,4/4,5/5,5/5,1/2,59,0
Cairo Santos,14,18,0.778,1/1,4/4,6/6,3/6,1,84,0
Graham Gano,14,16,0.875,0,3/3,4/5,4/4,3/4,63,0
Chris Boswell,13,20,0.65,0,3/3,4/6,5/10,1/1,50,1
Caleb Sturgis,9,13,0.692,0,4/4,2/2,3/6,1,49,0
Zane Gonzalez,9,14,0.643,0,1/1,4/4,2/4,2/5,94,1
Matt McCrane,8,12,0.667,0,3/3,2/2,3/5,2,91,0
Mike Nugent,6,6,1.0,0,3/3,0,2/2,1/1,52,0
Giorgio Tavecchio,5,5,1.0,0,1/1,0,2/2,2/2,56,0
Phil Dawson,5,8,0.625,0,2/2,2/2,1/3,1,43,0
Kai Forbath,4,5,0.8,0,2/2,1/1,1/1,1,41,0
Johnny Hekker,1,1,1.0,0,1/1,0,0,0,20,0
Sam Ficken,1,3,0.333,0,1,1/1,1,0,34,0
