Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Julio Jones,113,1677,8,24,2,58,80,0.708,2,0,170
DeAndre Hopkins,115,1572,11,23,4,49,81,0.704,2,0,163
Mike Evans,86,1524,8,26,6,72,69,0.802,1,0,138
Tyreek Hill,87,1479,12,27,8,75,60,0.69,0,0,137
JuJu Smith-Schuster,111,1426,7,18,5,97,68,0.613,1,0,166
Michael Thomas,125,1405,9,17,2,72,75,0.6,2,0,147
Davante Adams,111,1386,13,18,5,57,64,0.577,0,0,169
George Kittle,88,1377,5,20,6,85,60,0.682,0,0,136
Adam Thielen,113,1373,9,17,3,68,74,0.655,1,0,153
Travis Kelce,103,1336,10,18,2,43,68,0.66,2,0,150
Antonio Brown,104,1297,15,17,6,78,63,0.606,0,0,168
T.Y. Hilton,76,1270,6,22,6,68,55,0.724,0,0,120
Robert Woods,86,1219,6,20,0,39,66,0.767,0,0,130
Brandin Cooks,80,1204,5,22,4,57,56,0.7,1,0,117
Keenan Allen,97,1196,6,13,1,54,62,0.639,1,0,136
Zach Ertz,116,1163,8,13,0,34,66,0.569,1,0,156
Kenny Golladay,70,1063,5,19,3,60,56,0.8,1,0,119
Odell Beckham Jr.,77,1052,6,17,3,51,51,0.662,0,0,124
Tyler Boyd,76,1028,7,21,1,49,54,0.711,0,0,108
Stefon Diggs,102,1021,9,13,2,75,49,0.48,0,0,149
Amari Cooper,75,1005,7,10,3,126,53,0.707,2,0,107
Jarvis Landry,81,976,4,13,2,51,44,0.543,1,0,149
Tyler Lockett,57,965,10,17,6,52,37,0.649,1,0,70
Jared Cook,68,896,6,15,1,45,46,0.676,0,0,101
Corey Davis,65,891,4,15,2,51,47,0.723,1,0,112
Sterling Shepard,66,872,4,12,3,58,47,0.712,0,0,107
Emmanuel Sanders,71,868,4,13,4,64,37,0.521,1,0,98
Christian McCaffrey,107,867,6,11,0,38,41,0.383,2,0,124
Julian Edelman,74,850,6,12,0,36,41,0.554,0,0,108
Alshon Jeffery,65,843,6,9,2,52,48,0.738,1,0,92
Chris Godwin,59,842,7,10,1,48,48,0.814,4,0,95
Mohamed Sanu,66,838,4,7,2,44,41,0.621,2,0,94
Calvin Ridley,64,821,10,11,4,75,39,0.609,2,0,92
Adam Humphries,76,816,5,7,1,51,48,0.632,0,0,105
Golden Tate,74,795,4,9,2,99,33,0.446,2,0,113
D.J. Moore,55,788,2,9,3,82,33,0.6,1,0,82
DeSean Jackson,41,774,4,13,5,75,31,0.756,0,0,74
Allen Robinson,55,754,4,11,1,43,36,0.655,1,0,94
Robby Anderson,50,752,6,10,2,76,30,0.6,2,0,94
James White,87,751,7,3,1,42,38,0.437,0,0,123
Eric Ebron,66,750,13,7,1,53,39,0.591,0,0,110
Jordy Nelson,63,739,3,7,3,66,36,0.571,0,0,88
Josh Gordon,41,737,4,12,3,72,30,0.732,0,0,71
Nelson Agholor,64,736,4,10,5,83,28,0.438,1,0,97
Larry Fitzgerald,69,734,6,8,0,37,39,0.565,0,0,112
Tarik Cohen,71,725,5,9,3,70,29,0.408,1,0,91
Saquon Barkley,91,721,4,5,2,57,30,0.33,0,0,121
Dede Westbrook,66,717,5,15,1,61,38,0.576,2,0,101
John Brown,42,715,5,11,4,71,28,0.667,0,0,97
Alvin Kamara,81,709,4,7,1,42,31,0.383,0,0,105
Courtland Sutton,42,704,4,16,3,42,30,0.714,0,0,84
A.J. Green,46,694,6,12,0,38,37,0.804,2,0,77
Taylor Gabriel,67,688,2,7,3,54,31,0.463,1,0,93
Rob Gronkowski,47,682,3,8,1,42,34,0.723,1,0,72
Demaryius Thomas,59,677,5,9,2,76,37,0.627,0,0,89
Cole Beasley,65,672,3,3,0,32,39,0.6,0,0,87
Donte Moncrief,48,668,3,7,2,80,28,0.583,1,0,89
Mike Williams,43,664,10,11,2,55,36,0.837,0,0,66
Austin Hooper,71,660,4,7,0,36,30,0.423,0,0,88
Tyrell Williams,41,653,5,11,4,75,30,0.732,2,0,65
Zay Jones,56,652,7,7,1,57,33,0.589,1,0,102
Willie Snead,62,651,1,5,0,28,37,0.597,0,0,95
David Njoku,56,639,4,9,2,66,27,0.482,0,0,88
Jimmy Graham,55,636,2,7,1,54,32,0.582,0,0,89
Kyle Rudolph,64,634,4,6,1,44,32,0.5,0,0,82
Doug Baldwin,50,618,5,9,2,42,32,0.64,0,0,73
Vance McDonald,50,610,4,6,2,75,33,0.66,2,0,72
Jalen Richard,68,607,0,5,0,32,23,0.338,0,0,81
Michael Crabtree,54,607,3,6,0,27,35,0.648,0,0,100
Christian Kirk,43,590,3,8,2,75,21,0.488,0,0,68
Antonio Callaway,43,586,5,8,3,71,27,0.628,1,0,79
Marquez Valdes-Scantling,38,581,2,8,4,60,23,0.605,0,0,73
Todd Gurley,59,580,4,5,1,56,26,0.441,1,0,81
Evan Engram,45,577,3,8,2,54,22,0.489,0,0,64
Danny Amendola,59,575,1,4,0,39,27,0.458,0,0,79
Rashard Higgins,39,572,4,11,1,40,27,0.692,2,0,53
Trey Burton,54,569,6,7,1,47,29,0.537,1,0,76
Ezekiel Elliott,77,567,3,4,0,38,22,0.286,0,0,95
Cooper Kupp,40,566,6,9,3,70,25,0.625,0,0,55
O.J. Howard,34,565,5,11,1,75,28,0.824,0,0,48
Jordan Reed,54,558,2,7,0,34,26,0.481,1,0,84
Kenny Stills,37,553,6,7,2,75,27,0.73,0,0,64
Mark Andrews,34,552,3,8,2,74,28,0.824,0,0,50
Devin Funchess,44,549,4,8,0,27,35,0.795,0,0,79
Robert Foster,27,541,3,9,4,75,20,0.741,0,0,44
Chris Hogan,35,532,3,11,2,63,22,0.629,0,0,55
Josh Doctson,44,532,2,7,0,32,31,0.705,0,0,78
Sammy Watkins,40,519,3,7,2,50,24,0.6,0,0,55
Marvin Jones,35,508,5,5,0,39,27,0.771,0,0,62
Michael Gallup,33,507,2,10,2,49,21,0.636,0,0,68
Will Fuller,32,503,4,7,1,73,23,0.719,0,0,45
Chris Herndon,39,502,4,9,0,32,25,0.641,1,0,56
James Conner,55,497,1,5,0,29,20,0.364,1,0,71
Curtis Samuel,39,494,5,6,1,53,24,0.615,0,0,65
Seth Roberts,45,494,2,7,1,44,24,0.533,0,0,64
Keelan Cole,38,491,1,7,0,35,25,0.658,2,0,70
Melvin Gordon,50,490,4,5,1,66,21,0.42,1,0,66
T.J. Yeldon,55,487,4,4,0,37,21,0.382,0,0,78
Kendrick Bourne,42,487,4,6,0,33,30,0.714,1,0,67
Chester Rogers,53,485,2,5,0,34,28,0.528,0,0,72
Kenyan Drake,53,477,5,4,1,52,23,0.434,0,0,73
Dante Pettis,27,467,5,9,1,75,19,0.704,0,0,45
Taywan Taylor,37,466,1,3,2,55,19,0.514,1,0,56
Quincy Enunwa,38,449,1,6,2,42,22,0.579,2,0,68
Jarius Wright,43,447,1,8,0,33,25,0.581,3,0,59
David Johnson,50,446,3,6,1,40,22,0.44,1,0,76
David Moore,26,445,5,8,2,54,19,0.731,2,0,53
C.J. Uzomah,43,439,3,6,0,29,21,0.488,0,0,64
Duke Johnson,47,429,3,4,0,32,25,0.532,1,0,62
Tre'Quan Smith,28,427,5,6,1,62,23,0.821,0,0,44
Nyheim Hines,63,425,2,3,0,28,29,0.46,0,0,81
Anthony Miller,33,423,7,6,2,55,19,0.576,0,0,54
Jesse James,30,423,2,8,2,51,17,0.567,0,0,39
Austin Ekeler,39,404,3,5,1,44,18,0.462,1,0,53
Josh Reynolds,29,402,5,6,0,33,23,0.793,0,0,53
Benjamin Watson,35,400,2,6,0,32,21,0.6,0,0,46
Dion Lewis,59,400,1,3,0,37,13,0.22,0,0,67
Marquise Goodwin,23,395,4,5,2,67,19,0.826,1,0,44
Albert Wilson,26,391,4,7,3,75,11,0.423,0,0,35
Jamison Crowder,29,388,2,4,1,79,15,0.517,0,0,49
Theo Riddick,61,384,0,1,0,20,16,0.262,0,0,74
Randall Cobb,38,383,2,4,1,75,18,0.474,1,0,61
Kelvin Benjamin,25,380,1,5,1,57,16,0.64,0,0,67
Kareem Hunt,26,378,7,7,2,67,17,0.654,0,0,35
Jermaine Kearse,37,371,1,3,0,29,20,0.541,0,0,76
Vernon Davis,25,367,2,8,2,53,16,0.64,0,0,36
Ricky Seals-Jones,34,343,1,5,1,40,14,0.412,0,0,69
Breshad Perriman,16,340,2,4,2,66,13,0.813,0,0,25
Ryan Grant,35,334,1,3,0,23,18,0.514,0,0,52
Dallas Goedert,33,334,4,5,0,32,15,0.455,0,0,44
