Player,FF,FR,FR TD
J.J. Watt,7,0,0
Dee Ford,7,0,0
T.J. Watt,6,0,0
Khalil Mack,6,2,0
Justin Houston,5,3,0
Von Miller,4,3,0
Darius Leonard,4,2,0
Marshon Lattimore,4,3,0
Aaron Donald,4,2,0
D.J. Swearinger,3,1,0
Josh Norman,3,1,0
Fabian Moreau,3,0,0
Bradley McDougald,3,1,0
Kyle Love,3,2,0
Ryan Kerrigan,3,1,0
Chandler Jones,3,1,0
Malcolm Jenkins,3,1,0
Grady Jarrett,3,0,0
Jerry Hughes,3,0,0
Akiem Hicks,3,0,0
Myles Garrett,3,0,0
Trey Flowers,3,0,0
Tre Flowers,3,1,0
Samson Ebukam,3,2,1
Frank Clark,3,2,0
Alex Anzalone,3,0,0
Kiko Alonso,3,1,0
Jamal Adams,3,1,0
Kerry Wynn,2,0,0
Avery Williamson,2,1,0
P.J. Williams,2,0,0
Bobby Wagner,2,1,0
Jaylon Smith,2,2,1
Joe Schobert,2,2,0
Bradley Roby,2,0,0
Robert Quinn,2,0,0
Julius Peppers,2,1,0
Patrick Onwuasor,2,0,0
Bilal Nichols,2,1,0
Carl Nassib,2,0,0
Trent Murphy,2,1,0
Terrance Mitchell,2,1,0
Mike Mitchell,2,0,0
Barkevious Mingo,2,1,0
Whitney Mercilus,2,0,0
Raekwon McMillan,2,1,0
Jake Martin,2,1,0
Chris Long,2,0,0
Ryan Lewis,2,0,0
Shaq Lawson,2,0,0
DeMarcus Lawrence,2,1,0
Luke Kuechly,2,1,0
Chris Jones,2,0,0
Jordan Jenkins,2,2,0
Kareem Jackson,2,1,0
Eddie Jackson,2,1,1
Damon Harrison,2,1,0
Da'Shawn Hand,2,1,0
Rodney Gunter,2,0,0
Randy Gregory,2,1,0
Adam Gotsis,2,1,0
Stephon Gilmore,2,1,0
Dante Fowler Jr.,2,2,0
Sharif Finch,2,1,0
Tremaine Edmunds,2,0,0
Carlos Dunlap,2,1,0
Pierre Desir,2,1,0
Darqueze Dennard,2,1,0
Demario Davis,2,1,0
Zach Cunningham,2,1,0
Ha Ha Clinton-Dix,2,1,0
Bradley Chubb,2,1,0
Jurrell Casey,2,1,0
T.J. Carrie,2,1,0
Zach Brown,2,0,0
Tony Brown,2,0,0
Jayon Brown,2,1,0
Michael Bennett,2,0,0
Allen Bailey,2,4,1
Denico Autry,2,1,0
Prince Amukamara,2,0,0
Lorenzo Alexander,2,1,0
Kwon Alexander,2,0,0
Mario Addison,2,0,0
Kenny Young,1,0,0
Xavier Woods,1,0,0
Anthony Wint,1,0,0
James Winchester,1,1,0
Ramik Wilson,1,1,0
Jarrod Wilson,1,0,0
Damien Wilson,1,0,0
Xavier Williams,1,0,0
Shawn Williams,1,0,0
Marcus Williams,1,1,0
Kyle Williams,1,1,0
Tahir Whitehead,1,0,0
B.W. Webb,1,0,0
Stephen Weatherly,1,0,0
Dekoda Watson,1,0,0
Fred Warner,1,1,0
Jimmie Ward,1,0,0
Denzel Ward,1,2,0
Cameron Wake,1,0,0
Olivier Vernon,1,1,0
Kyle Van Noy,1,2,1
Tanner Vallejo,1,0,0
Kemoko Turay,1,0,0
Danny Trevathan,1,1,0
Tedric Thompson,1,0,0
Corey Thompson,1,0,0
Michael Thomas,1,0,0
Logan Thomas,1,0,0
De'Anthony Thomas,1,0,0
Jamar Taylor,1,0,0
Aqib Talib,1,1,0
Cameron Sutton,1,0,0
Terrell Suggs,1,1,1
Greg Stroman,1,0,0
Julian Stanford,1,0,0
Breeland Speaks,1,2,0
Za'Darius Smith,1,0,0
Telvin Smith,1,1,0
Ryan Smith,1,1,0
Harrison Smith,1,2,0
Chris Smith,1,0,0
Buster Skrine,1,1,0
Kawann Short,1,0,0
DeShawn Shead,1,0,0
Coty Sensabaugh,1,0,0
Brennan Scarlett,1,1,0
Orlando Scandrick,1,0,0
Daniel Ross,1,1,0
Dominique Rodgers-Cromartie,1,0,0
A'Shawn Robinson,1,1,0
Justin Reid,1,2,0
Caraun Reid,1,0,0
D.J. Reed,1,0,0
Brooks Reed,1,0,0
Haason Reddick,1,0,0
Shane Ray,1,0,0
Sheldon Rankins,1,0,0
Jordan Poyer,1,1,0
Tyvis Powell,1,0,0
Jason Pierre-Paul,1,1,0
Kevin Pierre-Louis,1,0,0
Darius Philon,1,0,0
Darius Phillips,1,0,0
Adrian Phillips,1,0,0
Nick Perry,1,0,0
Daron Payne,1,1,0
Cordarrelle Patterson,1,0,0
Will Parks,1,0,0
Brian Orakpo,1,1,0
David Onyemata,1,0,0
James Onwualu,1,0,0
Foye Oluokun,1,0,0
Romeo Okwara,1,0,0
Larry Ogunjobi,1,0,0
Mark Nzeocha,1,0,0
Robert Nkemdiche,1,0,0
Roosevelt Nix,1,0,0
Hardy Nickerson,1,0,0
Haloti Ngata,1,0,0
Siran Neal,1,0,0
Nicholas Morrow,1,0,0
Tarvarius Moore,1,0,0
Kenny Moore II,1,0,0
Brandon Mebane,1,0,0
Tony McRae,1,0,0
Benardrick McKinney,1,0,0
Jason McCourty,1,0,0
Devin McCourty,1,2,0
Benson Mayowa,1,1,0
Marcus Maye,1,0,0
Clay Matthews,1,0,0
Avonte Maddox,1,0,0
Greg Mabin,1,1,0
Dean Lowry,1,1,0
Elijah Lee,1,0,0
Harold Landry,1,0,0
Nick Kwiatkoski,1,0,0
Desmond King,1,1,0
Derrick Kindred,1,0,0
Eric Kendricks,1,1,0
Damontae Kazee,1,0,0
Matt Judon,1,0,0
Linval Joseph,1,1,1
Dion Jordan,1,0,0
Cameron Jordan,1,1,0
Jonathan Jones,1,0,0
Deion Jones,1,0,0
Christian Jones,1,0,0
Trumaine Johnson,1,1,0
Taron Johnson,1,0,0
John Johnson,1,0,0
Jaleel Johnson,1,0,0
Janoris Jenkins,1,0,0
Tony Jefferson,1,1,0
Lamar Jackson,1,0,0
Donte Jackson,1,0,0
Myles Jack,1,1,0
Bruce Irvin,1,0,0
Matthew Ioannidis,1,1,0
Melvin Ingram,1,1,0
