Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Dustin Hopkins,42,48,0.875,1/1,11/11,8/8,19/21,3/7,150,0
Daniel Carlson,40,43,0.93,0,10/11,12/12,12/13,6/7,56,0
Nick Folk,36,39,0.923,0,9/9,11/11,11/11,5/8,53,0
Chris Boswell,36,40,0.9,0,9/9,8/9,11/13,8/9,56,0
Justin Tucker,35,37,0.946,0,7/7,9/9,13/15,6/6,66,0
Greg Joseph,33,38,0.868,0,8/8,11/12,7/9,7/9,55,0
Matt Gay,32,34,0.941,0,6/6,15/15,7/8,4/5,55,0
Joey Slye,30,33,0.909,0,10/10,7/7,7/10,6/6,220,1
Matt Prater,30,37,0.811,0,11/11,9/11,3/5,7/10,62,0
Jake Elliott,30,33,0.909,0,7/7,10/10,10/13,3/3,58,1
Greg Zuerlein,29,35,0.829,0,5/5,15/16,7/9,2/5,56,0
Graham Gano,29,33,0.879,0,5/5,12/13,5/5,7/10,55,0
Evan McPherson,28,33,0.848,0,5/5,8/8,6/9,9/11,58,0
Tyler Bass,28,32,0.875,0,15/15,7/8,4/5,2/4,57,0
Younghoe Koo,27,29,0.931,0,8/8,9/9,6/7,4/5,54,0
Cairo Santos,26,30,0.867,0,10/10,5/5,11/13,2,47,1
Brandon McManus,26,31,0.839,0,7/8,6/6,8/8,5/9,61,1
Randy Bullock,26,30,0.867,0,5/5,12/12,8/12,1/1,51,0
Ryan Succop,25,30,0.833,0,11/11,7/8,7/10,1,48,0
Mason Crosby,25,34,0.735,0,9/9,9/13,4/8,3/4,54,2
Harrison Butker,25,28,0.893,0,3/3,11/11,4/5,7/9,56,0
Jason Sanders,23,31,0.742,0,6/6,7/9,8/10,2/6,51,2
Matthew Wright,21,24,0.875,0,7/7,7/7,3/4,4/6,56,0
Robbie Gould,20,23,0.87,0,6/6,4/4,7/9,3/4,52,0
Zane Gonzalez,20,22,0.909,0,6/6,1/1,10/10,3/5,57,1
Brian Johnson,18,18,1.0,0,9/9,6/6,1/1,2/2,152,0
Mike Badgley,18,23,0.783,0,4/4,6/7,8/11,1,46,0
Jason Myers,17,23,0.739,0,2/2,9/11,3/5,3/5,53,0
Brett Maher,16,18,0.889,0,4/4,8/9,4/4,1,42,0
Chase McLaughlin,15,20,0.75,0,3/3,4/4,4/9,4/4,57,1
Ka'imi Fairbairn,15,19,0.789,0,4/4,5/5,2/4,4/6,61,0
Riley Patterson,13,14,0.929,0,3/3,6/6,4/4,1,49,0
Matt Ammendola,13,19,0.684,0,5/5,6/6,2/5,3,49,0
Rodrigo Blankenship,11,14,0.786,0,3/3,3/4,5/6,1,48,1
Austin Seibert,10,11,0.909,0,0,4/4,5/5,1/2,52,0
Ryan Santoso,8,9,0.889,0,7/7,1/1,1,0,122,0
Eddy Pineiro,8,8,1.0,0,2/2,2/2,3/3,1/1,51,0
Elliott Fry,7,9,0.778,0,0,5/7,2/2,0,124,0
Tristan Vizcaino,6,7,0.857,0,3/3,2/2,1/2,0,46,0
Lirim Hajrullahu,4,5,0.8,0,2/2,2/2,1,0,35,0
Aldrick Rosas,2,5,0.4,0,0,1,2/2,2,87,0
Dominik Eberle,2,3,0.667,0,1/1,0,0,1/2,51,0
Chris Blewitt,2,5,0.4,0,0,0,1/4,1/1,52,3
Chris Naggar,1,1,1.0,0,0,1/1,0,0,37,0
