Team,INT,INT TD,INT Yds,Lng
49ers,10,1,185,50T
Bears,8,2,253,90T
Bengals,11,3,339,101
Bills,18,1,275,63
Broncos,10,2,237,103T
Browns,7,1,97,56T
Buccaneers,13,1,218,47T
Cardinals,15,1,258,82T
Chargers,18,2,302,90T
Chiefs,16,0,201,62
Colts,13,1,215,44
Cowboys,10,1,98,25
Dolphins,9,1,99,30T
Eagles,19,1,278,59
Falcons,8,0,108,43
Giants,13,2,161,53T
Jaguars,21,2,294,67
Jets,11,0,151,48
Lions,19,3,253,37T
Packers,11,1,54,21T
Panthers,10,0,78,40
Patriots,12,0,114,39
Raiders,5,0,10,8
Rams,18,3,401,69
Ravens,22,3,385,63T
Redskins,16,2,194,96T
Saints,20,2,192,33
Seahawks,14,3,212,78T
Steelers,16,0,184,41
Texans,11,2,144,82T
Titans,12,0,154,33
Vikings,14,1,200,36
