Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
49ers,39,41,95.1,0_0,8_7,11_11,18_17,4_4,52,1
Bears,16,22,72.7,1_1,5_5,2_2,10_6,4_2,55,1
Bengals,18,20,90.0,0_0,6_6,8_7,5_4,1_1,51,1
Bills,29,33,87.9,0_0,6_6,9_9,9_7,9_7,56,0
Broncos,24,32,75.0,0_0,8_6,12_11,6_4,6_3,53,2
Browns,15,20,75.0,0_0,5_5,6_4,6_4,3_2,54,0
Buccaneers,25,34,73.5,0_0,7_7,10_9,10_6,7_3,50,0
Cardinals,32,40,80.0,1_1,7_7,14_10,13_10,5_4,57,2
Chargers,20,30,66.7,0_0,11_11,8_6,8_2,3_1,50,3
Chiefs,41,45,91.1,0_0,8_8,20_19,12_10,5_4,53,0
Colts,29,34,85.3,0_0,11_11,10_7,7_6,6_5,54,1
Cowboys,22,29,75.9,1_1,6_5,8_6,9_7,5_3,56,0
Dolphins,21,23,91.3,0_0,6_6,8_8,7_6,2_1,54,0
Eagles,29,34,85.3,0_0,5_5,8_5,14_13,7_6,61,0
Falcons,34,39,87.2,1_1,6_6,13_10,10_9,9_8,57,2
Giants,18,25,72.0,0_0,8_8,5_3,9_4,3_3,52,2
Jaguars,30,35,85.7,0_0,6_6,14_13,10_9,5_2,56,0
Jets,25,30,83.3,1_1,6_6,4_4,17_12,2_2,57,1
Lions,30,35,85.7,2_2,4_4,10_10,8_7,11_7,58,0
Packers,15,19,78.9,0_0,8_8,4_2,4_4,3_1,50,1
Panthers,29,30,96.7,0_0,8_8,11_11,10_10,1_0,48,0
Patriots,37,40,92.5,0_0,16_16,9_9,11_8,4_4,62,0
Raiders,16,21,76.2,0_0,5_5,7_5,5_3,4_3,53,1
Rams,40,43,93.0,1_1,10_10,13_11,12_12,7_6,56,0
Ravens,34,37,91.9,0_0,7_7,11_11,12_11,7_5,57,1
Redskins,24,28,85.7,1_1,12_12,6_5,6_5,3_1,55,1
Saints,31,36,86.1,0_0,10_10,5_4,16_13,5_4,53,0
Seahawks,21,29,72.4,0_0,6_6,10_7,12_8,1_0,49,0
Steelers,35,38,92.1,0_0,10_10,14_12,10_9,4_4,53,1
Texans,20,25,80.0,0_0,4_3,10_8,7_6,4_3,55,0
Titans,35,42,83.3,0_0,10_10,7_7,20_16,5_2,52,1
Vikings,32,38,84.2,0_0,8_8,14_12,7_6,9_6,53,1
