Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,344,3943,11.5,27,50,10,72T,198,57.6,5,56
Bears,343,3653,10.7,18,36,8,88T,180,52.5,4,65
Bengals,336,3657,10.9,20,45,8,72,173,51.5,1,72
Bills,370,3844,10.4,14,42,3,77T,199,53.8,7,81
Broncos,294,3385,11.5,29,47,6,64T,166,56.5,3,62
Browns,360,3881,10.8,28,48,7,61T,189,52.5,7,70
Buccaneers,371,4306,11.6,22,57,12,61T,202,54.4,5,55
Cardinals,343,3796,11.1,24,44,8,72T,187,54.5,3,72
Chargers,329,3417,10.4,17,37,4,87T,153,46.5,3,75
Chiefs,325,4131,12.7,23,53,14,69,204,62.8,6,85
Colts,320,4123,12.9,23,64,11,67,192,60.0,4,68
Cowboys,371,3746,10.1,28,43,6,56T,181,48.8,3,60
Dolphins,339,3788,11.2,26,57,4,69T,190,56.0,1,53
Eagles,363,3883,10.7,24,40,10,77T,177,48.8,3,87
Falcons,362,3725,10.3,22,43,4,54T,197,54.4,0,65
Giants,347,4199,12.1,32,54,13,83T,189,54.5,4,70
Jaguars,289,3074,10.6,17,40,12,74T,143,49.5,1,77
Jets,329,3904,11.9,30,61,8,79T,191,58.1,5,61
Lions,366,4120,11.3,21,45,8,97T,205,56.0,5,77
Packers,348,4041,11.6,30,55,8,71T,211,60.6,3,62
Panthers,351,3969,11.3,25,49,8,70,187,53.3,4,54
Patriots,367,4319,11.8,24,49,10,78T,204,55.6,4,65
Raiders,361,4046,11.2,24,50,13,74,187,51.8,2,55
Rams,324,3799,11.7,21,54,6,65T,181,55.9,3,94
Ravens,333,3701,11.1,18,48,7,57,179,53.8,4,80
Redskins,306,3692,12.1,23,54,10,75T,171,55.9,2,87
Saints,329,3884,11.8,22,57,8,53T,172,52.3,4,99
Seahawks,325,3616,11.1,19,44,5,75T,181,55.7,1,77
Steelers,297,3610,12.2,20,48,13,75T,157,52.9,5,76
Texans,321,3999,12.5,30,53,17,94T,176,54.8,2,57
Titans,369,4100,11.1,27,37,7,80T,231,62.6,5,71
Vikings,324,3329,10.3,13,35,5,52,168,51.9,1,69
