Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
T.Y. Hilton,91,1448,6,28,2,63,66,0.725,0,0,156
Julio Jones,83,1409,6,27,5,75,64,0.771,0,0,129
Odell Beckham Jr.,101,1367,10,20,6,75,65,0.644,2,0,169
Mike Evans,96,1321,12,15,1,45,81,0.844,0,0,175
Antonio Brown,106,1284,12,22,3,51,64,0.604,0,0,155
Jordy Nelson,97,1257,14,19,4,60,62,0.639,1,0,152
Brandin Cooks,78,1173,8,15,6,98,45,0.577,1,0,117
Amari Cooper,83,1153,5,21,2,64,47,0.566,2,0,132
Michael Thomas,92,1137,9,18,1,46,62,0.674,2,0,122
Jarvis Landry,94,1136,4,16,3,71,52,0.553,1,0,131
Doug Baldwin,94,1128,7,16,5,59,52,0.553,1,0,126
Travis Kelce,85,1125,4,14,3,80,55,0.647,0,0,117
Julian Edelman,98,1106,3,11,1,77,55,0.561,1,0,158
Demaryius Thomas,90,1083,5,10,3,55,50,0.556,2,0,145
Golden Tate,91,1077,4,13,4,67,46,0.505,1,0,135
Greg Olsen,80,1073,3,14,1,78,54,0.675,0,0,127
Tyrell Williams,69,1059,7,19,6,51,48,0.696,0,0,121
Pierre Garcon,79,1041,3,15,3,70,52,0.658,0,0,116
Emmanuel Sanders,79,1032,5,12,2,64,50,0.633,1,0,139
Larry Fitzgerald,107,1023,6,8,0,32,59,0.551,2,0,150
Mike Wallace,72,1017,4,10,5,95,43,0.597,1,0,117
Terrelle Pryor,77,1007,4,11,4,54,48,0.623,0,0,139
DeSean Jackson,56,1005,4,19,5,80,35,0.625,0,0,100
Michael Crabtree,89,1003,8,10,3,56,56,0.629,2,0,145
Kenny Britt,68,1002,5,15,4,66,47,0.691,2,0,111
Davante Adams,75,997,12,17,4,66,45,0.6,2,0,121
Adam Thielen,69,967,5,16,2,71,44,0.638,1,0,92
A.J. Green,66,964,4,15,6,54,41,0.621,0,0,100
DeAndre Hopkins,78,954,4,10,2,51,56,0.718,0,0,150
Rishard Matthews,65,945,9,16,4,60,43,0.662,1,0,108
Kelvin Benjamin,63,941,7,10,3,50,50,0.794,1,0,118
Marvin Jones,55,930,4,16,4,73,41,0.745,0,0,103
Jimmy Graham,65,923,6,10,2,42,45,0.692,2,0,95
Stefon Diggs,84,903,3,10,3,46,47,0.56,0,0,111
Willie Snead,72,895,4,12,2,49,51,0.708,2,0,104
Cameron Meredith,66,888,4,13,1,50,44,0.667,3,0,96
Allen Robinson,73,883,6,11,1,42,51,0.699,1,0,151
David Johnson,80,879,4,13,1,58,42,0.525,0,0,120
Brandon LaFell,64,862,6,11,4,86,42,0.656,0,0,106
Quincy Enunwa,58,857,4,14,4,69,37,0.638,0,0,106
Marqise Lee,63,851,3,13,1,51,44,0.698,0,0,105
Jamison Crowder,67,847,7,11,3,55,34,0.507,2,0,97
Kyle Rudolph,83,840,7,11,1,44,50,0.602,0,0,132
Cole Beasley,75,833,5,6,1,47,51,0.68,0,0,98
Alshon Jeffery,52,821,2,12,2,54,41,0.788,0,0,95
Zach Ertz,78,816,4,9,0,30,42,0.538,0,0,107
Dontrelle Inman,58,810,4,10,2,57,37,0.638,0,0,94
Jordan Matthews,73,804,3,13,1,54,38,0.521,1,0,117
Delanie Walker,65,800,7,13,2,47,35,0.538,1,0,102
Steve Smith,70,799,5,12,2,52,39,0.557,0,0,103
Dez Bryant,50,796,8,10,3,56,38,0.76,1,0,97
Brandon Marshall,59,788,3,10,1,41,43,0.729,0,0,128
Ted Ginn,54,752,4,9,4,88,27,0.5,0,0,95
DeVante Parker,56,744,4,9,4,56,34,0.607,0,0,90
Dennis Pitta,86,729,2,4,0,30,37,0.43,1,0,119
Kenny Stills,42,726,9,10,4,74,30,0.714,0,0,81
Eric Ebron,61,711,1,9,1,61,37,0.607,0,0,86
Martellus Bennett,55,701,7,10,1,58,31,0.564,0,0,73
Jordan Reed,66,686,6,9,0,33,41,0.621,1,0,87
Sterling Shepard,65,683,8,6,0,32,42,0.646,0,0,105
Chris Hogan,38,680,4,11,4,79,23,0.605,1,0,57
Travis Benjamin,47,677,4,10,6,54,26,0.553,3,0,76
Jason Witten,69,673,3,7,0,35,33,0.478,1,0,95
Jeremy Kerley,64,667,3,8,0,33,33,0.516,1,0,115
Cameron Brate,57,660,8,5,0,38,40,0.702,1,0,81
