Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Justin Tucker,38,39,0.974,0,4/4,10/11,14/14,10/10,57,1
Caleb Sturgis,35,41,0.854,0,12/12,12/12,7/11,4/6,55,1
Nick Novak,35,41,0.854,1/1,12/12,11/11,8/11,3/6,53,0
Dustin Hopkins,34,42,0.81,0,12/12,12/14,7/9,3/7,53,0
Matt Bryant,34,37,0.919,0,12/12,7/8,9/9,6/8,59,1
Stephen Hauschka,33,37,0.892,0,11/13,13/13,8/10,1/1,53,1
Cairo Santos,31,35,0.886,0,8/9,15/17,6/7,2/2,54,0
Matt Prater,31,36,0.861,0,10/10,4/5,10/14,7/7,58,0
Graham Gano,30,38,0.789,0,4/4,9/11,14/17,3/6,54,0
Brandon McManus,29,34,0.853,0,9/9,10/10,7/9,3/6,55,0
Sebastian Janikowski,29,35,0.829,1/1,9/9,6/6,10/11,3/8,56,0
Wil Lutz,28,34,0.824,1/1,7/7,9/11,8/8,3/7,57,2
Adam Vinatieri,27,31,0.871,0,3/3,7/7,10/12,7/9,54,0
Jason Myers,27,34,0.794,0,7/7,3/4,10/11,7/12,56,2
Stephen Gostkowski,27,32,0.844,0,9/9,7/9,9/10,2/4,53,0
Nick Folk,27,31,0.871,0,12/13,10/11,3/3,2/4,51,3
Dan Bailey,27,32,0.844,0,9/9,8/8,7/9,3/6,56,0
Josh Lambo,26,32,0.813,0,7/7,13/14,6/8,3,47,1
Mason Crosby,26,30,0.867,1/1,6/6,13/15,5/6,1/2,53,1
Mike Nugent,23,29,0.793,0,9/9,9/10,5/7,3,47,0
Ryan Succop,22,24,0.917,1/1,4/4,6/6,8/8,3/5,53,0
Roberto Aguayo,22,31,0.71,0,5/5,13/15,4/10,1,43,1
Chandler Catanzaro,21,28,0.75,1/1,5/6,6/7,6/8,3/6,60,1
Chris Boswell,21,25,0.84,0,2/2,8/9,11/12,2,49,1
Cody Parkey,20,25,0.8,0,6/6,6/6,7/12,1/1,51,0
Greg Zuerlein,19,22,0.864,0,5/5,9/9,3/4,2/4,54,0
Dan Carpenter,19,25,0.76,1/1,8/8,5/5,4/9,1/2,54,0
Phil Dawson,18,21,0.857,0,4/4,6/6,7/9,1/2,53,0
Connor Barth,18,23,0.783,0,7/8,7/8,3/4,1/3,54,1
Andrew Franks,16,21,0.762,0,8/10,6/6,1/3,1/2,55,2
Kai Forbath,15,15,1.0,0,5/5,5/5,4/4,1/1,51,0
Blair Walsh,12,16,0.75,1/1,1/1,5/6,4/6,1/2,50,1
Josh Brown,11,12,0.917,1/1,3/3,3/3,4/4,1,48,0
Robbie Gould,10,10,1.0,0,3/3,3/3,4/4,0,47,0
Randy Bullock,8,9,0.889,0,4/4,2/2,2/3,0,87,0
Patrick Murray,1,2,0.5,0,0,1/1,0,1,35,0
