Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
DuJuan Harris,138,38,0,0,0,19,6,6.333,1
Alex Smith,134,48,5,1,0,24,9,5.333,2
Brock Osweiler,131,30,2,1,0,21,13,2.308,2
Ronnie Hillman,131,41,0,0,0,31,7,5.857,0
Ryan Fitzpatrick,130,33,0,0,0,14,7,4.714,3
Kapri Bibbs,129,29,0,1,0,24,7,4.143,0
Kenjon Barner,129,27,2,0,0,19,9,3.0,0
Ka'Deem Carey,126,32,0,1,0,24,4,8.0,0
Alex Collins,125,31,1,1,0,26,8,3.875,2
Matt Ryan,117,35,0,0,0,18,13,2.692,1
Danny Woodhead,116,19,0,2,0,23,6,3.167,0
Damien Williams,115,35,3,1,0,23,8,4.375,0
Mike Tolbert,114,35,0,0,0,14,5,7.0,0
Tyler Lockett,114,6,1,1,1,75,4,1.5,0
Orleans Darkwa,111,30,2,0,0,17,7,4.286,0
Akeem Hunt,109,20,0,0,0,19,4,5.0,2
Kevin Hogan,105,8,1,1,0,28,5,1.6,0
Jonathan Grimes,105,23,0,0,0,14,5,4.6,0
Benny Cunningham,101,21,0,2,0,24,4,5.25,1
Ameer Abdullah,101,18,0,1,0,24,6,3.0,0
Ted Ginn,98,14,0,1,0,20,4,3.5,0
Andre Ellington,96,34,0,0,0,13,4,8.5,0
Kirk Cousins,96,34,4,0,0,19,14,2.429,3
Chris Johnson,95,25,1,0,0,18,5,5.0,0
Jonathan Williams,94,27,1,1,0,20,6,4.5,2
Andre Williams,87,18,0,0,0,14,6,3.0,0
Darren McFadden,87,24,0,1,0,24,5,4.8,0
J.J. Nelson,83,4,1,1,1,56,3,1.333,0
Jacoby Brissett,83,16,1,1,0,27,5,3.2,2
Lucky Whitehead,82,10,0,1,0,26,4,2.5,1
Mack Brown,82,8,1,1,1,61,1,8.0,0
Adrian Peterson,72,37,0,0,0,13,3,12.333,1
Michael Campanaro,72,3,0,2,0,39,3,1.0,0
Derek Carr,70,39,0,0,0,13,5,7.8,3
Byron Marshall,64,19,0,0,0,12,5,3.8,0
Tom Brady,64,28,0,0,0,15,10,2.8,1
Bobby Rainey,63,17,0,0,0,14,4,4.25,0
Darrius Heyward-Bey,60,1,1,1,1,60,1,1.0,0
Jordan Todman,59,9,0,0,0,19,3,3.0,0
Fitzgerald Toussaint,58,14,0,0,0,16,2,7.0,0
Joe Flacco,58,21,2,0,0,16,6,3.5,1
Tyler Boyd,58,4,0,1,0,39,2,2.0,0
Trevor Siemian,57,28,0,0,0,14,6,4.667,1
Julian Edelman,57,12,0,0,0,9,3,4.0,1
Arian Foster,55,22,0,0,0,9,2,11.0,1
Sam Bradford,53,20,0,1,0,24,3,6.667,1
Case Keenum,51,20,1,0,0,13,7,2.857,0
Taylor Gabriel,51,4,1,1,0,27,3,1.333,0
Albert Wilson,50,2,1,1,1,55,1,2.0,0
Mike Davis,50,19,1,0,0,8,4,4.75,1
Brandon Tate,48,3,0,1,0,30,2,1.5,0
Antone Smith,47,10,0,0,0,8,1,10.0,2
Jamize Olawale,47,17,2,0,0,17,5,3.4,0
Troymaine Pope,44,12,0,0,0,19,3,4.0,0
Cordarrelle Patterson,43,7,0,1,0,22,2,3.5,0
Johnny Holton,43,6,0,1,0,29,2,3.0,1
Robby Anderson,42,3,0,1,0,30,2,1.5,0
Jamaal Charles,40,12,1,0,0,17,3,4.0,0
Malcolm Brown,39,18,0,0,0,10,1,18.0,1
Carson Palmer,38,14,0,0,0,16,3,4.667,5
Jeff Janis,38,2,1,0,0,19,2,1.0,0
John Kuhn,37,18,4,0,0,4,12,1.5,0
Josh Bellamy,37,4,0,1,0,22,2,2.0,0
Philip Rivers,35,14,0,0,0,10,2,7.0,2
Marqise Lee,35,6,0,0,0,11,2,3.0,0
George Atkinson,34,7,1,0,0,11,3,2.333,0
Javorius Allen,34,9,0,0,0,7,0,0.0,0
Andy Janovich,33,4,1,1,0,28,2,2.0,0
Randall Cobb,33,10,0,0,0,14,4,2.5,0
Daniel Lasco,32,11,0,0,0,6,1,11.0,0
Don Jackson,32,10,0,0,0,7,1,10.0,0
Mike Wallace,31,5,0,0,0,13,2,2.5,0
Sterling Shepard,31,3,0,1,0,22,1,3.0,0
Lance Dunbar,31,9,1,0,0,10,3,3.0,0
Chris Jones,30,1,0,1,0,30,1,1.0,0
Brandin Cooks,30,6,0,0,0,11,1,6.0,0
De'Anthony Thomas,29,4,0,1,0,23,1,4.0,0
Terrell Watson,28,9,1,0,0,8,2,4.5,0
Knile Davis,28,18,0,0,0,10,0,0.0,0
Brandon Wilds,27,10,0,0,0,6,1,10.0,0
Marquette King,27,2,0,1,0,27,1,2.0,1
Juwan Thompson,26,8,1,0,0,14,2,4.0,0
Jon Ryan,26,2,0,1,0,26,1,2.0,1
Paxton Lynch,25,11,0,0,0,10,1,11.0,0
D.J. Foster,24,7,0,0,0,7,0,0.0,0
