Player,INT,INT TD,INT Yds,Lng
Janoris Jenkins,9,0,168,124
Tre'Davious White,6,0,57,49
Anthony Harris,6,1,42,20
Stephon Gilmore,6,2,126,64
Marcus Peters,5,3,210,121
Devin McCourty,5,0,49,24
Darius Leonard,5,1,92,80
Kevin King,5,0,54,39
J.C. Jackson,5,0,39,19
Joe Haden,5,0,20,16
Minkah Fitzpatrick,5,1,130,96
Kevin Byard,5,0,79,28
Marcus Williams,4,1,56,55
Desmond Trufant,4,0,26,16
Justin Simmons,4,0,30,17
Andrew Sendejo,4,0,51,51
Joe Schobert,4,0,24,20
Logan Ryan,4,0,16,16
Darius Phillips,4,0,82,28
Tyrann Mathieu,4,0,70,35
Quinton Dunbar,4,0,6,6
K.J. Wright,3,0,10,11
Juan Thornhill,3,1,46,46
Harrison Smith,3,0,13,13
Richard Sherman,3,1,65,31
Fabian Moreau,3,0,16,10
Damontae Kazee,3,0,53,22
Rayshawn Jenkins,3,0,10,8
Donte Jackson,3,0,25,25
Marlon Humphrey,3,0,14,14
Jordan Hicks,3,0,64,48
Tre Herndon,3,0,0,0
Erik Harris,3,2,145,59
Tashaun Gipson,3,1,105,79
Kyle Fuller,3,0,37,29
Tre Flowers,3,0,0,0
Quandre Diggs,3,1,99,55
Pierre Desir,3,0,0,0
Jamie Collins,3,1,85,69
Sean Murphy-Bunting,3,1,88,70
James Bradberry,3,0,0,0
Tre Boston,3,0,20,20
Jessie Bates,3,0,33,20
Xavier Woods,2,0,38,29
Jarrod Wilson,2,0,4,4
Tramon Williams,2,0,0,0
K'Waun Williams,2,0,53,49
Darious Williams,2,0,0,0
T.J. Watt,2,0,7,7
Denzel Ward,2,1,61,61
Charvarius Ward,2,0,10,10
Levi Wallace,2,0,2,2
Tedric Thompson,2,0,18,18
Earl Thomas,2,0,38,24
Daniel Sorensen,2,0,6,6
Darius Slay,2,0,19,19
Darnell Savage,2,0,28,28
Bradley Roby,2,1,49,27
Justin Reid,2,0,55,37
Taylor Rapp,2,1,54,31
Jordan Poyer,2,0,0,0
Patrick Peterson,2,0,0,0
Steven Parker,2,0,35,35
Amani Oruwariye,2,0,0,0
Montae Nicholson,2,0,23,23
Nik Needham,2,0,23,23
Kenny Moore II,2,0,36,35
Whitney Mercilus,2,0,88,86
Rodney McLeod,2,0,30,23
Bradley McDougald,2,0,0,0
Bobby McCain,2,0,53,32
Cory Littleton,2,0,32,26
Jourdan Lewis,2,0,20,20
Luke Kuechly,2,0,26,25
Sidney Jones,2,0,4,3
John Johnson,2,0,0,0
Kareem Jackson,2,0,28,24
Eddie Jackson,2,0,18,14
Malik Hooker,2,0,39,26
Troy Hill,2,0,6,6
Neville Hewitt,2,0,13,9
Casey Hayward,2,0,37,37
Ronnie Harrison,2,0,66,35
Duron Harmon,2,0,27,27
Vernon Hargreaves III,2,2,30,30
Nate Gerry,2,1,51,51
Jamel Dean,2,0,31,31
Michael Davis,2,0,15,15
Ronald Darby,2,0,29,16
Ryan Connelly,2,0,18,13
Ross Cockrell,2,0,70,37
Ha Ha Clinton-Dix,2,1,96,59
Maurice Canady,2,0,6,6
De'Vondre Campbell,2,0,0,0
Josh Bynes,2,0,7,6
Malcolm Butler,2,1,61,38
Devin Bush,2,0,6,6
Juston Burris,2,0,42,27
Bashaud Breeland,2,0,4,4
Adrian Amos,2,0,3,3
Ricardo Allen,2,0,29,27
Jaire Alexander,2,0,37,37
Jahleel Addae,2,0,5,4
Rock Ya-Sin,1,0,0,0
Daryl Worley,1,0,0,0
Ahkello Witherspoon,1,1,25,25
