Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Derrick Henry,1540,303,16,9,3,74,73,4.151,5
Nick Chubb,1494,298,8,11,4,88,62,4.806,2
Christian McCaffrey,1387,287,15,6,4,84,56,5.125,1
Ezekiel Elliott,1357,301,12,4,0,33,78,3.859,3
Chris Carson,1230,278,7,8,1,59,75,3.707,6
Lamar Jackson,1206,176,7,11,1,47,71,2.479,8
Leonard Fournette,1152,265,3,7,4,81,55,4.818,0
Josh Jacobs,1150,242,7,8,2,51,53,4.566,1
Joe Mixon,1137,278,5,6,1,41,56,4.964,0
Dalvin Cook,1135,250,13,7,2,75,60,4.167,3
Marlon Mack,1091,247,8,9,1,63,67,3.687,0
Aaron Jones,1084,236,16,5,2,56,55,4.291,2
Carlos Hyde,1070,245,6,8,3,58,55,4.455,4
Mark Ingram,1018,202,10,6,2,53,53,3.811,2
Phillip Lindsay,1011,224,7,7,1,40,38,5.895,0
Saquon Barkley,1003,217,6,8,3,68,45,4.822,0
Sony Michel,912,247,7,3,0,26,55,4.491,2
Adrian Peterson,898,211,5,6,0,32,41,5.146,2
David Montgomery,889,242,6,3,1,55,50,4.84,2
Todd Gurley,857,223,12,5,0,25,51,4.373,3
Miles Sanders,818,179,3,5,2,65,30,5.967,2
Kenyan Drake,817,170,8,4,1,91,48,3.542,2
Alvin Kamara,797,171,5,5,1,40,32,5.344,3
Le'Veon Bell,789,245,3,0,0,19,36,6.806,0
Devin Singletary,775,151,2,7,0,38,37,4.081,4
Raheem Mostert,772,137,8,3,2,41,31,4.419,1
Ronald Jones,724,172,6,6,1,49,34,5.059,2
Gus Edwards,711,133,2,5,1,63,46,2.891,2
Devonta Freeman,656,184,2,3,0,28,31,5.935,2
Latavius Murray,637,146,5,3,0,30,38,3.842,0
Matt Breida,623,123,1,4,1,83,23,5.348,2
Melvin Gordon,612,162,8,2,0,24,39,4.154,3
Frank Gore,599,166,2,4,1,41,30,5.533,0
Austin Ekeler,557,132,3,4,0,35,32,4.125,1
Kyler Murray,544,91,4,7,0,35,27,3.37,1
Tevin Coleman,544,137,6,4,1,48,26,5.269,0
Jordan Howard,525,119,6,1,0,20,28,4.25,0
Josh Allen,510,109,9,1,0,36,41,2.659,7
