Player,FF,FR,FR TD
T.J. Watt,8,4,0
Chandler Jones,8,3,0
Shaquil Barrett,6,0,0
Khalil Mack,5,1,0
Ryan Anderson,5,2,0
K'Waun Williams,4,0,0
Terrell Suggs,4,0,0
Logan Ryan,4,0,0
Yannick Ngakoue,4,1,0
Whitney Mercilus,4,1,0
Matt Judon,4,0,0
Malcolm Jenkins,4,1,0
Bud Dupree,4,2,0
Maxx Crosby,4,0,0
Jadeveon Clowney,4,2,1
Devin White,3,1,1
Fred Warner,3,0,0
Kyle Van Noy,3,2,1
Harrison Smith,3,2,0
Sheldon Richardson,3,0,0
Jordan Poyer,3,3,0
Jabrill Peppers,3,0,0
Benson Mayowa,3,0,0
Danielle Hunter,3,1,0
Cole Holcomb,3,0,0
Marcell Harris,3,1,0
Rasheem Green,3,1,0
Jarrad Davis,3,1,0
Lavonte David,3,1,0
Marcus Davenport,3,0,0
Fletcher Cox,3,0,0
Jamie Collins,3,1,0
Justin Coleman,3,1,0
Frank Clark,3,1,0
De'Vondre Campbell,3,1,0
Vernon Butler,3,0,0
Preston Brown,3,3,0
Xavier Woods,2,0,0
Brandon Wilson,2,0,0
Tre'Davious White,2,0,0
Trae Waynes,2,1,0
Montez Sweat,2,0,0
Tye Smith,2,0,0
Keith Smith,2,0,0
Jaylon Smith,2,0,0
Buster Skrine,2,0,0
Joe Schobert,2,1,0
Brennan Scarlett,2,0,0
Orlando Scandrick,2,1,1
Darnell Savage,2,0,0
Nickell Robey-Coleman,2,0,0
Troy Reeder,2,0,0
Jalen Ramsey,2,0,0
Robert Quinn,2,0,0
Jason Pierre-Paul,2,0,0
Charles Omenihu,2,0,0
Bobby Okereke,2,1,0
George Odum,2,1,0
Trent Murphy,2,2,0
Rodney McLeod,2,0,0
Devin McCourty,2,1,0
Clay Matthews,2,0,0
Cory Littleton,2,3,0
Darius Leonard,2,0,0
DeMarcus Lawrence,2,2,0
Eric Kendricks,2,0,0
Jonathan Jones,2,0,0
A.J. Johnson,2,1,0
Jordan Jenkins,2,0,0
Grady Jarrett,2,0,0
Micah Hyde,2,0,0
Marlon Humphrey,2,3,2
Mike Hughes,2,0,0
Justin Houston,2,3,0
Jordan Hicks,2,0,0
Myles Garrett,2,0,0
Dante Fowler Jr.,2,1,1
Dee Ford,2,0,0
Trey Flowers,2,0,0
Minkah Fitzpatrick,2,1,0
Carlos Dunlap,2,0,0
Aaron Donald,2,1,0
Landon Collins,2,0,0
Adrian Clayborn,2,0,0
Chuck Clark,2,0,0
Taco Charlton,2,0,0
Maurice Canady,2,0,0
Calais Campbell,2,0,0
DeForest Buckner,2,1,0
Briean Boddy-Calhoun,2,0,0
Marquise Blair,2,0,0
Vonn Bell,2,4,1
Vic Beasley,2,0,0
Derek Barnett,2,0,0
Jerome Baker,2,0,0
Arik Armstead,2,1,0
Ezekiel Ansah,2,2,0
Josh Allen,2,0,0
Ola Adeniyi,2,0,0
Mario Addison,2,0,0
Jamal Adams,2,1,1
Kenny Young,1,0,0
Wesley Woodyard,1,0,0
Derek Wolfe,1,0,0
Deatrich Wise,1,0,0
Andrew Wingard,1,0,0
Mack Wilson,1,0,0
Jarrod Wilson,1,0,0
Damien Wilson,1,0,0
Jordan Willis,1,0,0
Xavier Williams,1,0,0
Tramon Williams,1,1,0
Marcus Williams,1,0,0
Leonard Williams,1,0,0
Jermaine Whitehead,1,0,0
Stephen Weatherly,1,0,0
J.J. Watt,1,2,0
Armon Watts,1,0,0
Charvarius Ward,1,0,0
Tracy Walker III,1,0,0
Joe Walker,1,0,0
Anthony Walker,1,0,0
Bobby Wagner,1,1,0
Dee Virgin,1,0,0
Nick Vigil,1,1,0
Olivier Vernon,1,0,0
Leighton Vander Esch,1,0,0
Tanner Vallejo,1,0,0
Malik Turner,1,0,0
Kemoko Turay,1,0,0
Josh Tupou,1,0,0
Jacob Tuioti-Mariner,1,0,0
Danny Trevathan,1,0,0
Dalvin Tomlinson,1,0,0
Joe Thomas,1,0,0
Earl Thomas,1,1,0
Marvell Tell,1,0,0
Jahlani Tavai,1,0,0
Josiah Tauaefa,1,0,0
Jaquiski Tartt,1,1,0
Chandon Sullivan,1,0,0
Shamar Stephen,1,1,0
Za'Darius Smith,1,0,0
Ryan Smith,1,0,0
Rod Smith,1,0,0
Preston Smith,1,0,0
Malcolm Smith,1,0,0
John Simon,1,0,0
Danny Shelton,1,0,0
Kendall Sheffield,1,0,0
Eric Rowe,1,0,0
Bradley Roby,1,0,0
A'Shawn Robinson,1,2,0
Curtis Riley,1,0,0
Patrick Ricard,1,0,0
Xavier Rhodes,1,0,0
Eric Reid,1,2,0
Jalen Reeves-Maybin,1,1,0
Jarran Reed,1,0,0
D.J. Reed,1,1,1
Brian Poole,1,0,0
Jordan Phillips,1,0,0
Patrick Peterson,1,0,0
Denzel Perryman,1,0,0
Will Parks,1,0,0
Patrick Onwuasor,1,0,0
Foye Oluokun,1,0,0
Isaiah Oliver,1,0,0
Ed Oliver,1,0,0
Romeo Okwara,1,0,0
Alex Okafor,1,0,0
Emmanuel Ogbah,1,0,0
Chris Odom,1,0,0
Ifeadi Odenigbo,1,2,1
Uchenna Nwosu,1,0,0
Josh Norman,1,0,0
Derrick Nnadi,1,0,0
Anthony Nelson,1,0,0
Nik Needham,1,0,0
Siran Neal,1,0,0
Carl Nassib,1,1,0
Johnny Mundt,1,0,0
Al-Quadin Muhammad,1,0,0
Avery Moss,1,0,0
Damontre Moore,1,0,0
Ty Montgomery,1,0,0
Matt Milano,1,1,0
Sherrick McManis,1,0,0
Benardrick McKinney,1,2,0
Bradley McDougald,1,0,0
Blake Martinez,1,0,0
Jake Martin,1,0,0
Trey Marshall,1,1,0
Avonte Maddox,1,0,0
Julian Love,1,0,0
David Long,1,0,0
Shaq Lawson,1,0,0
Dexter Lawrence,1,0,0
Harold Landry,1,2,0
Tyler Lancaster,1,1,0
Nick Kwiatkoski,1,0,0
Tanoh Kpassagnon,1,0,0
A.J. Klein,1,1,0
Kevin King,1,0,0
Desmond King,1,1,0
Ryan Kerrigan,1,0,0
Devon Kennard,1,2,1
Mychal Kendricks,1,0,0
Lance Kendricks,1,0,0
Damontae Kazee,1,0,0
Linval Joseph,1,0,0
Justin Jones,1,0,0
D.J. Jones,1,0,0
Chris Jones,1,1,0
Byron Jones,1,0,0
Taron Johnson,1,0,0
Kareem Jackson,1,0,0
Eddie Jackson,1,1,0
Kemal Ishmael,1,0,0
Bruce Irvin,1,1,0
Sam Hubbard,1,0,0
Anthony Hitchens,1,0,0
Mike Hilton,1,0,0
Cameron Heyward,1,0,0
Trey Hendrickson,1,0,0
D.J. Hayden,1,0,0
Trent Harris,1,0,0
Shelby Harris,1,0,0
Chris Harris,1,0,0
Javon Hargrave,1,0,0
Shaun Dion Hamilton,1,0,0
Joe Haden,1,0,0
Brandon Graham,1,2,0
Chauncey Gardner-Johnson,1,1,0
Tre Flowers,1,1,0
Rashad Fenton,1,0,0
Mario Edwards,1,0,0
Samson Ebukam,1,1,0
Ross Dwelley,1,0,0
Quandre Diggs,1,1,0
Carlton Davis,1,1,0
Darrell Daniels,1,0,0
Jordan Dangerfield,1,0,0
Brandon Copeland,1,0,0
Randall Cobb,1,0,0
Kenny Clark,1,0,0
Bradley Chubb,1,0,0
Jurrell Casey,1,2,0
Lorenzo Carter,1,0,0
T.J. Carrie,1,1,0
Ibraheim Campbell,1,0,0
Shilique Calhoun,1,0,0
Devin Bush,1,4,1
Juston Burris,1,0,0
