Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk
49ers,9.0,25,226,0,2,0,21,26,3,0
Bears,7.6,25,190,0,1,0,32,14,3,0
Bengals,10.1,23,232,0,3,0,29,20,1,0
Bills,11.9,31,370,1,5,1,84T,13,2,0
Broncos,13.4,20,267,1,3,2,83T,25,3,0
Browns,4.8,24,115,0,0,0,13,11,0,0
Buccaneers,5.9,30,176,0,1,0,21,14,0,1
Cardinals,5.4,25,136,0,2,0,24,15,1,2
Chargers,5.6,18,100,0,1,0,30,15,1,0
Chiefs,5.8,28,163,1,1,1,67T,15,3,0
Colts,10.1,31,312,0,3,0,26,15,0,1
Cowboys,9.1,29,265,0,4,1,73,14,1,0
Dolphins,11.1,32,354,1,3,1,88T,9,3,1
Eagles,8.8,26,230,1,2,1,73T,27,3,0
Falcons,8.9,17,152,0,2,0,24,23,0,0
FootballTeam,5.7,31,176,0,2,0,22,26,7,0
Giants,11.4,20,228,0,3,0,20,16,0,0
Jaguars,11.4,18,205,1,1,1,91T,12,1,1
Jets,8.6,10,86,0,0,0,18,29,0,2
Lions,12.8,17,217,1,2,1,74T,17,2,3
Packers,4.8,11,53,0,0,0,11,19,1,0
Panthers,5.9,20,117,0,1,0,20,18,1,0
Patriots,15.5,23,357,1,4,3,70T,16,1,0
Raiders,11.5,23,265,0,3,0,32,10,1,0
Rams,6.9,34,235,0,1,0,34,28,4,0
Ravens,9.0,27,244,0,1,0,20,18,0,0
Saints,10.2,39,399,0,2,1,42,18,2,0
Seahawks,8.6,22,189,0,1,0,20,22,2,1
Steelers,9.6,37,356,0,2,2,57,22,3,0
Texans,7.9,20,158,0,0,0,19,11,2,1
Titans,9.0,23,208,0,2,1,40,12,0,0
Vikings,4.3,16,69,0,0,0,13,11,4,0
