Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,200,71,20,13,176,51.6,102,23.7,997
Bears,210,80,22,13,190,54.3,104,23.7,1020
Bengals,210,91,16,10,192,56.5,126,27.2,1021
Bills,191,76,19,11,199,53.9,125,30.2,1025
Broncos,219,88,14,7,201,53.7,106,24.4,1043
Browns,205,90,27,22,214,57.7,116,28.2,1035
Buccaneers,205,82,25,14,215,50.5,78,21.8,1023
Cardinals,202,80,21,14,207,56.7,118,27.1,1054
Chargers,204,89,15,10,186,54.7,112,26.2,997
Chiefs,188,77,20,13,202,57.9,113,26.1,1022
Colts,203,86,14,6,203,55.0,94,24.1,992
Cowboys,209,98,21,10,180,54.9,142,27.8,1054
Dolphins,186,58,26,12,193,56.3,113,27.4,998
Eagles,211,80,18,7,209,57.4,98,20.4,1060
Falcons,195,80,23,10,239,56.2,97,25.5,1034
FootballTeam,216,81,24,9,161,48.8,100,23.4,1004
Giants,204,91,18,11,215,55.4,115,26.6,1046
Jaguars,198,86,18,12,210,56.8,140,27.1,1068
Jets,202,90,12,5,235,56.2,100,22.5,1081
Lions,193,91,18,11,253,66.1,127,26.1,1068
Packers,185,73,24,14,184,53.2,119,30.0,974
Panthers,199,98,10,6,211,53.0,114,27.9,1022
Patriots,186,76,16,9,187,56.2,131,28.2,982
Raiders,205,100,17,14,223,60.3,114,26.0,1039
Rams,209,74,21,9,170,49.0,91,23.5,989
Ravens,191,65,35,16,213,56.1,96,25.1,1017
Saints,207,79,30,16,185,55.6,85,21.8,992
Seahawks,223,105,23,10,253,56.2,97,24.7,1112
Steelers,222,83,20,5,163,54.7,94,22.7,996
Texans,202,96,21,11,222,58.9,145,29.4,1068
Titans,214,111,26,15,247,58.4,113,26.5,1076
Vikings,185,73,24,17,208,58.1,136,28.8,1036
