Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,13,8,0,7,8
Bears,15,8,1,4,6
Bengals,10,6,0,6,4
Bills,15,11,1,5,5
Broncos,12,6,0,4,6
Browns,17,10,0,4,12
Buccaneers,15,10,0,4,5
Cardinals,15,10,0,1,5
Chargers,6,7,0,2,8
Chiefs,13,6,0,8,1
Colts,14,10,0,6,4
Cowboys,16,12,2,2,9
Dolphins,16,10,2,5,5
Eagles,14,11,1,3,5
Falcons,17,9,0,4,8
FootballTeam,14,7,1,1,7
Giants,14,11,1,8,10
Jaguars,12,5,0,4,4
Jets,17,9,0,4,11
Lions,15,5,0,7,5
Packers,12,7,1,5,3
Panthers,14,15,3,3,6
Patriots,5,4,1,2,2
Raiders,8,5,0,3,2
Rams,12,8,1,1,7
Ravens,25,12,3,11,7
Saints,7,8,0,0,7
Seahawks,14,8,0,2,6
Steelers,13,9,0,4,6
Texans,9,6,0,1,4
Titans,12,8,1,5,10
Vikings,11,7,0,2,5
