Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
49ers,537,341,63.5,6.6,3327,25,12,88.6,176,32.8,44,9,70,30
Bears,547,350,64.0,7.2,3705,28,10,94.9,190,34.7,50,7,72T,35
Bengals,541,340,62.8,7.3,3859,32,11,96.1,192,35.5,57,8,55,17
Bills,573,369,64.4,6.9,3726,23,15,86.9,199,34.7,44,7,69T,38
Broncos,567,374,66.0,7.2,3807,21,10,92.1,201,35.4,59,6,84T,42
Browns,585,371,63.4,7.2,3962,31,11,94.8,214,36.6,49,10,47,38
Buccaneers,617,426,69.0,7.0,3945,29,15,94.3,215,34.8,46,7,75T,48
Cardinals,570,365,64.0,6.9,3623,26,11,91.5,207,36.3,48,5,76T,48
Chargers,543,340,62.6,6.8,3578,29,12,91.4,186,34.3,44,10,54T,27
Chiefs,557,349,62.7,7.1,3779,29,16,89.4,202,36.3,54,9,72T,32
Colts,562,369,65.7,7.3,3866,24,15,90.5,203,36.1,53,6,73,40
Cowboys,513,328,63.9,7.4,3642,34,10,100.4,180,35.1,51,11,81T,31
Dolphins,545,343,62.9,8.0,4024,21,18,87.0,193,35.4,57,12,85T,41
Eagles,530,364,68.7,7.8,3798,27,8,102.4,209,39.4,50,12,69,49
Falcons,625,425,68.0,7.9,4697,34,12,101.7,239,38.2,66,9,58,29
FootballTeam,529,330,62.4,6.4,3068,21,16,81.4,161,30.4,36,11,56T,47
Giants,574,388,67.6,7.2,3807,22,11,93.2,215,37.5,43,6,68T,40
Jaguars,533,370,69.4,8.1,4231,34,12,105.6,210,39.4,52,9,78T,18
Jets,605,418,69.1,7.6,4409,34,10,103.2,235,38.8,50,9,54,31
Lions,557,383,68.8,8.5,4558,38,7,112.4,253,45.4,66,8,75T,24
Packers,536,346,64.6,7.1,3539,23,11,91.1,184,34.3,39,9,53,41
Panthers,585,398,68.0,6.9,3825,28,7,98.4,211,36.1,50,6,50,29
Patriots,494,333,67.4,7.5,3557,22,18,89.3,187,37.9,48,8,54T,24
Raiders,580,370,63.8,7.5,4212,28,10,95.3,223,38.4,50,7,92T,21
Rams,548,347,63.3,6.2,3051,17,14,80.4,170,31.0,36,4,59T,53
Ravens,596,380,63.8,6.4,3536,22,10,87.2,213,35.7,38,4,50,39
Saints,557,333,59.8,6.7,3472,28,18,83.3,185,33.2,49,9,74T,45
Seahawks,674,450,66.8,7.1,4560,23,14,90.2,253,37.5,55,9,52,46
Steelers,526,298,56.7,6.6,3110,22,18,76.7,163,31.0,45,7,73T,56
Texans,541,377,69.7,8.0,4104,30,3,109.6,222,41.0,52,11,73T,34
Titans,630,423,67.1,7.3,4439,36,15,97.5,247,39.2,55,8,75T,19
Vikings,541,358,66.2,7.9,4141,30,15,97.0,208,38.4,63,12,61,23
