Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
49ers,19.3,27,520,0,12,0,34,0,1,0,1
Bears,24.4,47,1145,1,31,6,104T,0,0,1,0
Bengals,24.6,31,764,1,17,5,103T,0,0,0,0
Bills,27.6,36,995,0,30,5,60,0,2,0,0
Broncos,20.6,27,557,0,17,0,31,0,0,1,1
Browns,22.1,36,795,0,22,1,43,0,0,1,2
Buccaneers,21.8,25,546,0,19,0,34,0,1,0,0
Cardinals,21.9,24,525,0,15,2,54,0,1,0,0
Chargers,22.0,42,924,0,21,3,76,0,0,0,2
Chiefs,25.8,25,646,1,18,2,102T,0,0,1,0
Colts,25.8,43,1111,1,33,2,101T,0,0,0,0
Cowboys,26.1,37,965,1,25,5,67,0,0,0,1
Dolphins,17.9,12,215,0,4,1,45,0,0,0,0
Eagles,20.9,31,648,0,17,2,46,0,1,1,1
Falcons,20.5,20,409,0,11,0,29,0,1,0,0
FootballTeam,20.8,31,645,0,22,1,46,0,0,0,0
Giants,21.9,36,788,0,20,2,48,0,3,0,0
Jaguars,20.5,30,614,0,15,1,40,0,1,0,0
Jets,19.8,41,811,0,18,2,66,0,0,0,0
Lions,24.9,34,845,0,22,3,71,0,0,0,1
Packers,18.9,33,623,0,17,0,34,0,1,0,0
Panthers,25.3,29,734,0,21,1,98,0,0,0,1
Patriots,23.1,31,717,0,21,1,53,0,1,1,1
Raiders,19.0,22,418,0,10,1,44,0,2,2,0
Rams,20.6,25,516,0,14,1,41,0,0,1,0
Ravens,26.7,23,613,1,17,1,93T,0,0,0,0
Saints,25.4,30,761,0,22,1,75,0,1,1,0
Seahawks,22.5,28,629,0,19,2,49,0,0,0,1
Steelers,23.1,29,670,0,20,1,49,0,0,0,0
Texans,20.1,36,722,0,23,0,34,0,0,1,0
Titans,20.2,38,767,1,18,1,42T,0,0,1,0
Vikings,21.9,33,722,0,22,0,38,0,0,1,1
