Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,341,3526,10.3,25,44,9,70,176,51.6,7,59
Bears,350,3939,11.3,28,50,7,72T,190,54.3,4,66
Bengals,340,3942,11.6,32,57,8,55,192,56.5,6,76
Bills,369,3946,10.7,23,44,7,69T,199,53.9,5,75
Broncos,374,4089,10.9,21,59,6,84T,201,53.7,4,62
Browns,371,4224,11.4,31,49,10,47,214,57.7,4,73
Buccaneers,426,4311,10.1,29,46,7,75T,215,50.5,4,68
Cardinals,365,3949,10.8,26,48,5,76T,207,56.7,1,55
Chargers,340,3715,10.9,29,44,10,54T,186,54.7,2,54
Chiefs,349,3968,11.4,29,54,9,72T,202,57.9,8,63
Colts,369,4127,11.2,24,53,6,73,203,55.0,6,77
Cowboys,328,3820,11.6,34,51,11,81T,180,54.9,2,46
Dolphins,343,4373,12.7,21,57,12,85T,193,56.3,5,70
Eagles,364,4122,11.3,27,50,12,69,209,57.4,3,41
Falcons,425,4918,11.6,34,66,9,58,239,56.2,4,50
FootballTeam,330,3393,10.3,21,36,11,56T,161,48.8,1,63
Giants,388,4130,10.6,22,43,6,68T,215,55.4,8,73
Jaguars,370,4322,11.7,34,52,9,78T,210,56.8,4,58
Jets,418,4595,11.0,34,50,9,54,235,56.2,4,65
Lions,383,4753,12.4,38,66,8,75T,253,66.1,7,49
Packers,346,3793,11.0,23,39,9,53,184,53.2,5,72
Panthers,398,4024,10.1,28,50,6,50,211,53.0,3,57
Patriots,333,3722,11.2,22,48,8,54T,187,56.2,2,51
Raiders,370,4341,11.7,28,50,7,92T,223,60.3,3,73
Rams,347,3401,9.8,17,36,4,59T,170,49.0,1,66
Ravens,380,3808,10.0,22,38,4,50,213,56.1,11,65
Saints,333,3759,11.3,28,49,9,74T,185,55.6,0,83
Seahawks,450,4811,10.7,23,55,9,52,253,56.2,2,77
Steelers,298,3494,11.7,22,45,7,73T,163,54.7,4,81
Texans,377,4325,11.5,30,52,11,73T,222,58.9,1,49
Titans,423,4593,10.9,36,55,8,75T,247,58.4,5,76
Vikings,358,4267,11.9,30,63,12,61,208,58.1,2,55
