Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,19,25,45,1
Bears,12,26,40,2
Bengals,13,19,33,0
Bills,16,40,60,0
Broncos,13,21,35,2
Browns,21,27,50,2
Buccaneers,16,42,59,0
Cardinals,22,27,49,0
Chargers,12,31,45,2
Chiefs,13,40,57,3
Colts,20,24,50,3
Cowboys,14,25,42,4
Dolphins,15,24,42,4
Eagles,16,22,42,7
Falcons,13,27,41,1
FootballTeam,18,16,37,0
Giants,13,12,27,2
Jaguars,9,25,37,3
Jets,9,16,26,1
Lions,17,27,45,2
Packers,16,48,66,2
Panthers,19,16,38,1
Patriots,20,12,36,1
Raiders,20,28,48,1
Rams,19,20,43,1
Ravens,24,27,55,2
Saints,30,28,59,0
Seahawks,15,40,55,1
Steelers,12,35,50,2
Texans,10,33,44,1
Titans,26,33,62,4
Vikings,20,35,55,8
