Team,FR TD,SFTY,INT TD
49ers,2,0,3
Bears,0,1,1
Bengals,0,1,0
Bills,0,1,0
Broncos,1,0,0
Browns,0,0,1
Buccaneers,4,0,2
Cardinals,0,0,0
Chargers,0,0,0
Chiefs,2,0,1
Colts,0,2,1
Cowboys,1,0,0
Dolphins,0,1,1
Eagles,2,0,1
Falcons,1,0,1
Giants,1,1,1
Jaguars,1,0,1
Jets,2,2,3
Lions,1,0,0
Packers,0,0,0
Panthers,1,2,0
Patriots,2,1,3
Raiders,0,0,2
Rams,2,1,2
Ravens,4,1,2
Redskins,0,0,0
Saints,1,1,2
Seahawks,1,0,2
Steelers,2,0,1
Texans,0,0,2
Titans,2,1,1
Vikings,1,1,1
