Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM
49ers,331,4029,12.2,28,62,8,75T,195,58.9,3
Bears,371,3573,9.6,20,39,2,53,178,48.0,1
Bengals,356,3994,11.2,18,48,7,66T,191,53.7,7
Bills,299,3476,11.6,21,54,8,53T,162,54.2,0
Broncos,312,3401,10.9,16,46,10,75T,162,51.9,4
Browns,318,3847,12.1,22,58,9,89T,180,56.6,2
Buccaneers,382,5127,13.4,33,75,13,71T,244,63.9,3
Cardinals,355,3797,10.7,20,49,10,88T,176,49.6,4
Chargers,394,4648,11.8,24,57,12,84T,220,55.8,4
Chiefs,378,4690,12.4,30,59,18,83T,211,55.8,5
Colts,307,3314,10.8,22,38,3,50,165,53.7,5
Cowboys,388,4902,12.6,30,68,16,62,229,59.0,4
Dolphins,371,4117,11.1,22,49,7,51,210,56.6,7
Eagles,391,4063,10.4,27,52,6,53T,215,55.0,6
Falcons,459,5049,11.0,29,52,5,93T,258,56.2,3
Giants,376,4070,10.8,30,54,11,75T,187,49.7,5
Jaguars,364,4023,11.1,24,53,6,70T,183,50.3,1
Jets,323,3443,10.7,19,44,6,92T,162,50.2,3
Lions,344,4187,12.2,28,60,13,75T,196,57.0,2
Packers,356,4017,11.3,26,52,12,74T,190,53.4,6
Panthers,382,4134,10.8,17,40,7,52T,230,60.2,2
Patriots,378,4153,11.0,25,62,6,59,197,52.1,4
Raiders,367,4110,11.2,22,54,10,75,194,52.9,4
Rams,397,4669,11.8,22,73,6,66,222,55.9,3
Ravens,289,3350,11.6,37,44,8,83T,171,59.2,2
Redskins,298,3205,10.8,18,38,6,75T,154,51.7,4
Saints,418,4431,10.6,36,54,9,61T,230,55.0,2
Seahawks,341,4110,12.1,31,55,10,60T,190,55.7,8
Steelers,315,3214,10.2,18,37,8,79T,147,46.7,7
Texans,355,4083,11.5,27,51,10,54,203,57.2,2
Titans,297,3956,13.3,29,58,15,91T,177,59.6,4
Vikings,319,3729,11.7,26,53,11,66,171,53.6,6
