Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers,401,1802,4.5,11,9,1,40T,105,26.2,9
Bears,414,1632,3.9,16,9,2,59,86,20.8,5
Bengals,504,2382,4.7,17,22,2,57,124,24.6,5
Bills,388,1649,4.3,12,12,1,65T,93,24.0,6
Broncos,426,1783,4.2,9,7,2,81,96,22.5,1
Browns,463,2315,5.0,19,14,3,83T,124,26.8,10
Buccaneers,362,1181,3.3,11,4,1,59,70,19.3,6
Cardinals,439,1922,4.4,9,9,1,76T,94,21.4,3
Chargers,429,1805,4.2,15,9,3,84T,101,23.5,7
Chiefs,416,2051,4.9,14,9,2,68T,115,27.6,6
Colts,383,1567,4.1,8,8,2,60T,93,24.3,4
Cowboys,407,1656,4.1,14,9,1,59,101,24.8,7
Dolphins,485,2166,4.5,15,9,2,60,113,23.3,8
Eagles,353,1442,4.1,13,10,3,68T,76,21.5,8
Falcons,421,1775,4.2,13,14,0,37,108,25.7,10
Giants,469,1812,3.9,19,12,1,41,100,21.3,8
Jaguars,435,2229,5.1,23,15,6,84T,114,26.2,6
Jets,417,1391,3.3,12,8,1,66,75,18.0,8
Lions,455,1855,4.1,13,7,2,45,94,20.7,7
Packers,411,1921,4.7,15,8,3,75T,99,24.1,10
Panthers,445,2296,5.2,31,23,5,60,128,28.8,5
Patriots,365,1528,4.2,7,6,4,65T,72,19.7,5
Raiders,405,1570,3.9,15,9,0,30,91,22.5,3
Rams,444,1809,4.1,15,9,1,44T,100,22.5,8
Ravens,340,1494,4.4,12,8,4,88T,74,21.8,5
Redskins,493,2339,4.7,14,16,4,67T,120,24.3,8
Saints,345,1461,4.2,12,9,1,49T,71,20.6,7
Seahawks,388,1883,4.9,22,12,2,80T,97,25.0,5
Steelers,462,1753,3.8,7,6,0,38,110,23.8,14
Texans,403,1937,4.8,12,15,4,63T,98,24.3,4
Titans,415,1672,4.0,14,6,4,69,95,22.9,5
Vikings,404,1728,4.3,8,5,2,91T,78,19.3,3
