Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,23,15,2,7,9
Bears,12,9,0,4,5
Bengals,9,5,0,4,5
Bills,16,9,0,9,6
Broncos,9,6,1,5,1
Browns,12,6,0,3,10
Buccaneers,21,16,4,5,6
Cardinals,19,10,0,5,3
Chargers,6,3,0,1,7
Chiefs,13,7,2,2,6
Colts,14,8,0,4,4
Cowboys,14,10,1,3,7
Dolphins,9,3,0,2,8
Eagles,15,9,2,3,8
Falcons,17,8,1,3,10
Giants,9,6,1,3,8
Jaguars,13,9,1,2,6
Jets,10,9,2,2,8
Lions,16,11,1,5,7
Packers,12,7,0,4,10
Panthers,8,7,1,0,5
Patriots,15,11,2,6,5
Raiders,9,6,0,2,3
Rams,15,11,2,5,8
Ravens,15,12,4,6,5
Redskins,16,9,0,3,8
Saints,11,10,1,2,7
Seahawks,19,16,1,7,5
Steelers,22,18,2,3,14
Texans,14,10,0,1,4
Titans,11,9,2,3,5
Vikings,19,14,1,9,3
