Team,INT,INT TD,INT Yds,Lng
49ers,12,3,286,49
Bears,10,1,157,59
Bengals,11,0,181,34
Bills,14,0,59,49
Broncos,10,0,87,24
Browns,14,1,219,61T
Buccaneers,12,2,201,70T
Cardinals,7,0,82,48
Chargers,11,0,74,37
Chiefs,16,1,141,46T
Colts,15,1,167,80T
Cowboys,7,0,83,29
Dolphins,13,1,190,35T
Eagles,11,1,159,51T
Falcons,12,1,130,27T
Giants,10,1,171,62
Jaguars,10,1,132,35
Jets,12,3,138,61T
Lions,7,0,76,55
Packers,17,0,177,39
Panthers,14,0,141,37
Patriots,25,3,353,69T
Raiders,9,2,214,59
Rams,13,2,137,32T
Ravens,13,2,259,89T
Redskins,13,0,106,33
Saints,13,2,140,55T
Seahawks,16,2,161,55T
Steelers,20,1,235,96T
Texans,12,2,302,86
Titans,14,1,158,38T
Vikings,17,1,95,21
