Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,318,3074,9.7,23,34,5,88T,150,47.2,7,75
Bears,362,3796,10.5,17,40,7,75T,190,52.5,4,67
Bengals,308,4121,13.4,25,70,12,79T,183,59.4,4,56
Bills,348,3421,9.8,15,34,4,61T,169,48.6,9,80
Broncos,348,3822,11.0,19,46,11,75,175,50.3,5,68
Browns,318,3740,11.8,25,48,8,75T,184,57.9,3,62
Buccaneers,408,4647,11.4,30,57,14,75T,222,54.4,5,93
Cardinals,421,4785,11.4,38,72,7,57,243,57.7,5,55
Chargers,328,3394,10.3,21,41,6,70T,156,47.6,1,43
Chiefs,352,3881,11.0,21,46,7,69,190,54.0,2,64
Colts,394,4231,10.7,29,50,9,61T,207,52.5,4,49
Cowboys,370,3879,10.5,21,55,5,92T,188,50.8,3,69
Dolphins,344,4353,12.7,39,68,6,83T,214,62.2,2,65
Eagles,348,4136,11.9,27,49,15,75T,185,53.2,3,79
Falcons,351,4137,11.8,28,56,9,71T,192,54.7,3,55
Giants,369,4471,12.1,30,67,15,62,211,57.2,3,64
Jaguars,327,4088,12.5,22,60,12,84T,193,59.0,2,60
Jets,363,4001,11.0,25,51,7,89T,187,51.5,2,64
Lions,381,4739,12.4,33,72,10,66,232,60.9,5,73
Packers,326,4016,12.3,19,56,15,66,191,58.6,4,70
Panthers,347,3997,11.5,21,53,7,93T,197,56.8,0,65
Patriots,303,3214,10.6,13,42,5,64T,150,49.5,6,86
Raiders,337,4355,12.9,33,68,16,91T,201,59.6,2,65
Rams,348,3928,11.3,23,40,6,67T,194,55.7,5,72
Ravens,318,3583,11.3,15,47,9,83T,163,51.3,6,69
Redskins,371,4093,11.0,35,56,9,53T,200,53.9,3,52
Saints,371,4201,11.3,27,54,13,75T,197,53.1,2,75
Seahawks,383,4407,11.5,19,53,6,58T,224,58.5,7,72
Steelers,314,3455,11.0,23,43,6,58T,164,52.2,3,79
Texans,375,4491,12.0,33,58,12,65T,220,58.7,1,74
Titans,386,4356,11.3,25,55,8,63T,213,55.2,3,70
Vikings,394,4099,10.4,23,47,7,60T,215,54.6,9,81
