Team,Att,Cmp,Cmp %,Yds/Att,Pass Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
49ers,478,331,69.2,8.4,4029,28,13,103.1,195,40.8,62,8,75T,36,237
Bears,580,371,64.0,6.2,3573,20,12,83.9,178,30.7,39,2,53,45,282
Bengals,616,356,57.8,6.5,3994,18,16,76.2,191,31.0,48,7,66T,48,342
Bills,513,299,58.3,6.8,3476,21,12,82.8,162,31.6,54,8,53T,40,247
Broncos,504,312,61.9,6.7,3401,16,10,84.1,162,32.1,46,10,75T,41,286
Browns,539,318,59.0,7.1,3847,22,21,78.4,180,33.4,58,9,89T,41,293
Buccaneers,630,382,60.6,8.1,5127,33,30,84.1,244,38.7,75,13,71T,47,282
Cardinals,554,355,64.1,6.9,3797,20,12,87.0,176,31.8,49,10,88T,50,320
Chargers,597,394,66.0,7.8,4648,24,20,89.0,220,36.9,57,12,84T,34,222
Chiefs,576,378,65.6,8.1,4690,30,5,104.4,211,36.6,59,18,83T,25,192
Colts,513,307,59.8,6.5,3314,22,10,85.0,165,32.2,38,3,50,32,206
Cowboys,597,388,65.0,8.2,4902,30,11,99.5,229,38.4,68,16,62,23,151
Dolphins,615,371,60.3,6.7,4117,22,18,80.0,210,34.1,49,7,51,58,313
Eagles,613,391,63.8,6.6,4063,27,8,92.1,215,35.1,52,6,53T,37,230
Falcons,684,459,67.1,7.4,5049,29,15,93.8,258,37.7,52,5,93T,50,335
Giants,607,376,61.9,6.7,4070,30,17,86.4,187,30.8,54,11,75T,43,339
Jaguars,589,364,61.8,6.8,4023,24,8,90.0,183,31.1,53,6,70T,42,263
Jets,521,323,62.0,6.6,3443,19,16,80.6,162,31.1,44,6,92T,52,332
Lions,571,344,60.2,7.3,4187,28,15,88.2,196,34.3,60,13,75T,43,287
Packers,573,356,62.1,7.0,4017,26,4,95.3,190,33.2,52,12,74T,36,284
Panthers,633,382,60.3,6.5,4134,17,21,74.7,230,36.3,40,7,52T,58,484
Patriots,620,378,61.0,6.7,4153,25,9,88.2,197,31.8,62,6,59,28,192
Raiders,523,367,70.2,7.9,4110,22,8,101.0,194,37.1,54,10,75,29,184
Rams,632,397,62.8,7.4,4669,22,17,85.6,222,35.1,73,6,66,22,170
Ravens,440,289,65.7,7.6,3350,37,8,109.0,171,38.9,44,8,83T,28,125
Redskins,479,298,62.2,6.7,3205,18,13,83.0,154,32.2,38,6,75T,50,393
Saints,581,418,71.9,7.6,4431,36,6,110.2,230,39.6,54,9,61T,25,187
Seahawks,517,341,66.0,7.9,4110,31,6,105.3,190,36.8,55,10,60T,48,319
Steelers,510,315,61.8,6.3,3214,18,19,76.1,147,28.8,37,8,79T,32,233
Texans,534,355,66.5,7.6,4083,27,14,95.3,203,38.0,51,10,54,49,300
Titans,448,297,66.3,8.8,3956,29,8,108.3,177,39.5,58,15,91T,56,374
Vikings,466,319,68.5,8.0,3729,26,8,103.9,171,36.7,53,11,66,28,206
