Player,KO,Yds,Yds.1,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Tyler Bass,101,6469,537,71,0.703,30,17.9,0,0,0,0
Bradley Pinion,100,6498,471,85,0.85,14,33.6,0,0,1,0
Justin Tucker,95,6094,634,65,0.684,30,21.1,0,0,0,0
Daniel Carlson,95,5966,748,61,0.642,32,23.4,2,0,0,0
Harrison Butker,95,6119,508,72,0.758,21,24.2,0,0,2,1
Wil Lutz,94,5929,379,71,0.755,21,18.0,2,0,1,0
Jason Sanders,91,5577,361,64,0.703,23,15.7,4,0,1,0
Jason Myers,91,5792,815,52,0.571,38,21.4,1,0,0,0
Greg Zuerlein,90,5589,583,60,0.667,27,21.6,3,1,0,0
Cairo Santos,86,5252,836,42,0.488,41,20.4,3,0,0,0
Stephen Gostkowski,86,5373,715,51,0.593,32,22.3,2,0,1,0
Ka'imi Fairbairn,85,5338,670,52,0.612,32,20.9,2,1,0,0
Dan Bailey,83,4948,649,53,0.639,25,26.0,5,0,0,1
Mason Crosby,82,5275,856,48,0.585,33,25.9,0,0,1,0
Joey Slye,81,5095,144,71,0.877,7,20.6,3,0,0,0
Sam Sloman,81,5213,839,46,0.568,34,24.7,0,0,1,0
Cody Parkey,81,5175,912,45,0.556,35,26.1,0,0,1,1
Ty Long,81,5187,822,49,0.605,31,26.5,1,0,0,0
Dustin Hopkins,78,4808,235,65,0.833,9,26.1,4,0,0,0
Rigoberto Sanchez,77,4803,947,33,0.429,44,21.5,1,0,0,1
Brandon McManus,73,4516,484,54,0.74,16,30.3,4,0,0,1
Graham Gano,73,4357,888,30,0.411,40,22.2,3,0,0,1
Jake Elliott,73,4508,531,46,0.63,24,22.1,3,0,0,0
Chris Boswell,73,4652,613,44,0.603,28,21.9,0,0,1,0
Jake Bailey,72,4584,624,42,0.583,29,21.5,1,0,0,0
Mitch Wishnowsky,67,4229,583,42,0.627,23,25.3,2,0,0,0
Younghoe Koo,66,4160,847,28,0.424,36,23.5,2,1,0,0
Zane Gonzalez,65,4112,549,36,0.554,28,19.6,1,0,1,0
Jack Fox,60,3700,851,19,0.317,38,22.4,2,0,2,0
Randy Bullock,58,3656,273,43,0.741,13,21.0,1,0,1,0
Logan Cooke,46,2844,350,25,0.543,18,19.4,1,0,2,0
Matt Gay,35,2267,184,28,0.8,6,30.7,0,0,1,0
Sam Ficken,32,2004,300,18,0.563,12,25.0,1,0,1,0
Braden Mann,28,1813,315,16,0.571,12,26.3,0,0,0,0
Austin Seibert,22,1420,270,13,0.591,9,30.0,0,0,0,0
Sterling Hofrichter,22,1415,109,16,0.727,5,21.8,0,0,1,0
Aldrick Rosas,20,1266,76,15,0.75,5,15.2,0,0,0,0
Rodrigo Blankenship,20,1267,140,13,0.65,7,20.0,0,0,0,0
Mike Nugent,19,1202,304,3,0.158,16,19.0,0,0,0,0
Matt Prater,18,1065,198,7,0.389,11,18.0,0,0,0,0
J.K. Scott,16,965,232,4,0.25,12,19.3,0,0,0,0
Matthew Wright,15,869,295,1,0.067,13,22.7,1,0,0,0
Robbie Gould,13,577,212,1,0.077,9,23.6,4,0,0,1
Kai Forbath,9,585,181,4,0.444,5,36.2,0,0,0,0
Josh Lambo,5,227,43,2,0.4,2,21.5,1,0,0,0
Taylor Russolino,4,209,102,0,0.0,3,34.0,1,0,0,0
Elliott Fry,4,259,54,2,0.5,2,27.0,0,0,0,0
Chase McLaughlin,3,177,55,0,0.0,3,18.3,0,0,0,0
Nick Folk,3,172,56,0,0.0,3,18.7,0,0,0,0
Mike Badgley,3,177,91,0,0.0,3,30.3,0,0,0,0
Tommy Townsend,2,103,41,0,0.0,2,20.5,0,0,0,0
Sam Martin,2,114,41,0,0.0,2,20.5,0,0,0,0
Andy Lee,2,121,42,0,0.0,2,21.0,0,0,0,0
Chris Jones,2,116,23,0,0.0,2,11.5,0,0,0,0
Cameron Johnston,2,118,50,0,0.0,2,25.0,0,0,0,0
Michael Dickson,2,26,0,0,0.0,0,0.0,2,0,0,0
Britton Colquitt,2,104,21,0,0.0,2,10.5,0,0,0,0
Bryan Anger,2,126,35,0,0.0,2,17.5,0,0,0,0
Tristan Vizcaino,1,65,0,1,1.0,0,0.0,0,0,0,0
Ryan Succop,1,16,0,0,0.0,0,0.0,1,0,0,0
Thomas Morstead,1,33,0,0,0.0,1,0.0,0,0,0,0
Brett Kern,1,48,13,0,0.0,1,13.0,0,0,0,0
Matt Haack,1,49,15,0,0.0,1,15.0,0,0,0,0
Jamie Gillan,1,55,22,0,0.0,1,22.0,0,0,0,0
Riley Dixon,1,50,22,0,0.0,1,22.0,0,0,0,0
Keelan Cole,1,11,0,0,0.0,0,0.0,1,0,0,0
Jon Brown,1,9,0,0,0.0,0,0.0,1,0,0,0
Aaron Brewer,1,15,0,0,0.0,0,0.0,1,0,0,0
