Player,FF,FR,FR TD
Demetrius Harris,1,0,0
Davontae Harris,1,0,0
Da'Shawn Hand,1,0,0
Nate Hall,1,0,0
Yetur Gross-Matos,1,0,0
Raven Greene,1,0,0
Adam Gotsis,1,0,0
Markus Golden,1,1,0
Graham Glasgow,1,0,0
Jeff Gladney,1,0,0
Stephon Gilmore,1,0,0
Reggie Gilliam,1,0,0
Willie Gay Jr.,1,0,0
Kyle Fuller,1,0,0
Morgan Fox,1,0,0
Dante Fowler Jr.,1,0,0
L.J. Fort,1,1,0
Poona Ford,1,0,0
Leonard Floyd,1,2,0
Tre Flowers,1,0,0
Minkah Fitzpatrick,1,0,0
Kylie Fitts,1,0,0
Clayton Fejedelem,1,1,0
Foley Fatukasi,1,0,0
Brandon Facyson,1,0,0
Kyler Fackrell,1,0,0
Deshazor Everett,1,0,0
Corn Elder,1,0,0
Tyler Eifert,1,0,0
Gus Edwards,1,0,0
Samson Ebukam,1,0,0
Trevon Diggs,1,0,0
Pierre Desir,1,0,0
Cameron Dantzler,1,1,0
Darrell Daniels,1,0,0
Johnathan Cyprien,1,0,0
Zach Cunningham,1,0,0
Jack Crawford,1,0,0
Fletcher Cox,1,0,0
Landon Collins,1,0,0
Jadeveon Clowney,1,0,0
Adrian Clayborn,1,0,0
Bradley Chubb,1,0,0
Taco Charlton,1,0,0
Tevaughn Campbell,1,0,0
De'Vondre Campbell,1,0,0
Kevin Byard,1,0,0
Vernon Butler,1,0,0
Sean Murphy-Bunting,1,1,0
Cameron Brown,1,0,0
Bashaud Breeland,1,0,0
Jordan Brailford,1,1,0
Kris Boyd,1,0,0
Tre Boston,1,0,0
Nick Bosa,1,0,0
Mike Boone,1,0,0
Chris Board,1,0,0
Marquise Blair,1,0,0
Julian Blackmon,1,0,0
Henry Black,1,0,0
Jessie Bates,1,0,0
Krys Barnes,1,0,0
Budda Baker,1,0,0
Blessuan Austin,1,0,0
Jeremiah Attaochu,1,0,0
Dorance Armstrong,1,2,0
Ugo Amadi,1,0,0
Tyson Alualu,1,0,0
Azeez Al-Shaair,1,0,0
Jaire Alexander,1,0,0
Ola Adeniyi,1,0,0
Jamal Adams,1,0,0
