Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Jeff Smith,17,167,0,1,0,21,9,0.529,0,0,37
John Hightower,10,167,0,2,2,59,5,0.5,0,0,25
Ronald Jones,28,165,1,1,0,37,2,0.071,2,0,42
Todd Gurley,25,164,0,1,0,26,7,0.28,1,0,34
Dontrelle Inman,18,163,2,0,0,17,11,0.611,1,0,28
Pharaoh Brown,14,163,2,2,0,29,9,0.643,0,0,16
Malcolm Brown,23,162,0,1,0,30,9,0.391,1,0,33
Byron Pringle,13,160,1,3,0,37,9,0.692,0,0,17
Freddie Swain,13,159,2,3,0,23,6,0.462,0,0,20
Donald Parham,10,159,3,4,0,26,8,0.8,0,0,20
Darrell Henderson,16,159,1,1,0,28,8,0.5,0,0,24
Melvin Gordon,32,158,1,1,0,20,7,0.219,2,0,44
Raheem Mostert,16,156,1,1,1,76,5,0.313,0,0,19
Zay Jones,14,154,1,1,0,37,6,0.429,0,0,20
Noah Brown,14,154,0,1,0,20,6,0.429,0,0,24
Auden Tate,14,150,0,0,0,19,9,0.643,0,0,20
Adam Shaheen,12,150,3,2,1,43,9,0.75,0,0,22
Nick Chubb,16,150,0,1,0,26,6,0.375,0,0,17
Christian McCaffrey,17,149,1,1,0,24,8,0.471,0,0,19
Joshua Kelley,23,148,0,1,0,35,9,0.391,0,0,23
Chris Thompson,20,146,1,0,0,15,5,0.25,0,0,23
O.J. Howard,11,146,2,2,0,33,8,0.727,0,0,19
Ian Thomas,20,145,1,1,0,21,11,0.55,1,0,31
Kenny Stills,11,144,1,2,0,24,8,0.727,0,0,19
Christian Blake,13,141,0,3,0,25,6,0.462,0,0,18
Foster Moreau,7,140,2,4,1,47,5,0.714,0,0,9
Alex Erickson,12,139,0,2,1,42,5,0.417,0,0,17
Jalen Richard,19,138,0,0,0,19,5,0.263,0,0,23
Joe Mixon,21,138,1,0,0,19,5,0.238,0,0,26
Kenyan Drake,25,137,0,0,0,18,5,0.2,0,0,31
Jeff Wilson,13,133,3,1,0,21,8,0.615,0,0,28
