Player,INT,INT TD,INT Yds,Lng
Vernon Hargreaves III,1,0,0,0
Harrison Hand,1,0,4,4
Bryce Hall,1,0,20,20
Grant Haley,1,0,0,0
Raven Greene,1,0,17,17
Markus Golden,1,0,1,1
Stephon Gilmore,1,0,15,15
Chauncey Gardner-Johnson,1,0,3,3
Kristian Fulton,1,0,44,44
Kyle Fuller,1,0,5,5
Rashad Fenton,1,0,31,31
Kyler Fackrell,1,1,46,46
Jordan Evans,1,0,0,0
T.J. Edwards,1,0,13,13
Quinton Dunbar,1,0,0,0
Darqueze Dennard,1,0,0,0
Jamel Dean,1,1,32,32
Akeem Davis-Gaither,1,0,0,0
Lavonte David,1,0,0,0
Dane Cruikshank,1,0,13,13
Ken Crawley,1,0,0,0
Landon Collins,1,0,1,1
Jamie Collins,1,0,1,1
Chuck Clark,1,0,0,0
Jeremy Chinn,1,0,0,0
Tevaughn Campbell,1,1,6,6
Kevin Byard,1,0,0,0
Deon Bush,1,0,10,10
Juston Burris,1,0,0,0
Sean Murphy-Bunting,1,0,0,0
Myles Bryant,1,0,0,0
Jayon Brown,1,0,0,0
Tre Boston,1,0,0,0
Jon Bostic,1,0,0,0
Breon Borders,1,0,0,0
Essang Bassey,1,0,26,26
Chidobe Awuzie,1,0,0,0
Azeez Al-Shaair,1,0,0,0
Mackensie Alexander,1,0,21,21
Jaire Alexander,1,0,0,0
Nasir Adderley,1,0,39,39
Jahleel Addae,1,0,3,3
