Player,KO,Yds,Yds.1,TB,TB %,Ret,Ret Avg,OSK,OSK Rec,OOB,TD
Stephen Gostkowski,99,6228,1095,40,0.404,58,18.9,1,0,0,0
Greg Zuerlein,95,6147,411,73,0.768,20,20.6,0,0,2,0
Wil Lutz,94,6011,788,58,0.617,32,24.6,3,0,1,0
Justin Tucker,90,5610,615,55,0.611,33,18.6,2,0,0,0
Chris Boswell,90,5720,906,46,0.511,43,21.1,0,0,1,0
Kai Forbath,88,5587,1009,44,0.5,44,22.9,0,0,0,0
Jake Elliott,84,5258,857,42,0.5,40,21.4,1,1,1,0
Matt Bosher,84,5332,863,49,0.583,33,26.2,2,0,0,0
Graham Gano,83,5313,254,70,0.843,12,21.2,1,0,1,0
Ryan Succop,80,5120,750,47,0.588,32,23.4,1,0,0,0
Bradley Pinion,79,5100,300,64,0.81,13,23.1,0,0,1,0
Blair Walsh,78,4861,738,39,0.5,37,19.9,1,0,1,0
Harrison Butker,78,5006,318,61,0.782,17,18.7,0,0,0,0
Phil Dawson,76,4647,863,34,0.447,39,22.1,2,0,1,1
Ka'imi Fairbairn,75,4718,542,49,0.653,26,20.8,1,0,0,0
Stephen Hauschka,74,4365,681,37,0.5,31,22.0,6,1,0,0
Brandon McManus,71,4191,460,45,0.634,20,23.0,6,0,0,1
Chandler Catanzaro,71,4349,455,45,0.634,22,20.7,4,1,1,0
Rigoberto Sanchez,70,4390,441,46,0.657,23,19.2,1,0,0,0
Mason Crosby,68,4246,665,36,0.529,30,22.2,2,2,0,0
Cody Parkey,67,4015,665,28,0.418,34,19.6,5,4,0,0
Randy Bullock,65,4109,782,30,0.462,34,23.0,0,0,1,0
Giorgio Tavecchio,64,4058,298,48,0.75,15,19.9,1,1,0,0
Aldrick Rosas,62,3849,656,26,0.419,32,20.5,2,0,2,0
Patrick Murray,59,3590,1081,14,0.237,43,25.1,2,0,0,2
Josh Lambo,57,3322,601,22,0.386,32,18.8,2,1,1,0
Zane Gonzalez,56,3286,452,33,0.589,19,23.8,4,0,0,1
Dan Bailey,56,3605,519,32,0.571,24,21.6,0,0,0,0
Sam Martin,50,3242,526,25,0.5,25,21.0,0,0,0,0
Nick Rose,47,2941,274,32,0.681,13,21.1,2,0,1,0
Dustin Hopkins,40,2574,191,29,0.725,11,17.4,0,0,0,0
Connor Barth,37,2374,488,17,0.459,20,24.4,0,0,0,1
Mike Nugent,36,2262,347,18,0.5,18,19.3,0,0,0,0
Jason Myers,35,2151,216,26,0.743,8,27.0,1,0,1,1
Nick Novak,32,2021,564,9,0.281,23,24.5,0,0,0,0
Jeff Locke,23,1485,180,16,0.696,7,25.7,0,0,0,0
Cairo Santos,20,1308,168,12,0.6,8,21.0,0,0,0,0
Nick Folk,18,1114,86,13,0.722,4,21.5,1,0,0,0
Matt Prater,17,977,149,6,0.353,10,14.9,1,0,0,0
Travis Coons,15,943,254,4,0.267,11,23.1,0,0,0,0
Younghoe Koo,14,922,173,8,0.571,6,28.8,0,0,0,0
Sam Ficken,8,511,109,5,0.625,3,36.3,0,0,0,0
Drew Kaser,7,449,130,2,0.286,5,26.0,0,0,0,0
Caleb Sturgis,6,374,77,2,0.333,4,19.3,0,0,0,0
Jeff Heath,5,308,50,2,0.4,3,16.7,0,0,0,0
Pat O'Donnell,4,260,54,2,0.5,2,27.0,0,0,0,0
Kamu Grugier-Hill,4,248,81,1,0.25,3,27.0,0,0,0,0
Robbie Gould,4,101,2,0,0.0,2,1.0,2,1,0,0
Jon Ryan,2,125,52,0,0.0,2,26.0,0,0,0,0
Marshall Koehn,2,139,29,1,0.5,1,29.0,0,0,0,0
Riley Dixon,2,118,37,0,0.0,2,18.5,0,0,0,0
Tress Way,1,61,12,0,0.0,1,12.0,0,0,0,0
Kasey Redfern,1,65,23,0,0.0,1,23.0,0,0,0,0
Ryan Quigley,1,51,14,0,0.0,1,14.0,0,0,0,0
Thomas Morstead,1,65,0,1,1.0,0,0.0,0,0,0,0
Andy Lee,1,68,17,0,0.0,1,17.0,0,0,0,0
Shane Lechler,1,46,5,0,0.0,1,5.0,0,0,0,0
Lachlan Edwards,1,55,4,0,0.0,1,4.0,0,0,0,0
Dustin Colquitt,1,48,0,0,0.0,0,0.0,0,0,0,0
Britton Colquitt,1,64,19,0,0.0,1,19.0,0,0,0,0
