Player,INT,INT TD,INT Yds,Lng
Darius Slay,8,0,73,37
Kevin Byard,8,0,130,33
Eric Weddle,6,1,85,45
A.J. Bouye,6,0,70,51
Harrison Smith,5,0,42,19
Jordan Poyer,5,1,33,19
Marcus Peters,5,0,137,62
Marshon Lattimore,5,1,85,33
Micah Hyde,5,0,64,37
Tre Boston,5,0,49,25
Antoine Bethea,5,0,51,21
Marcus Williams,4,0,12,12
Tre'Davious White,4,0,86,63
D.J. Swearinger,4,0,32,31
Patrick Robinson,4,0,36,19
Damarious Randall,4,1,35,21
Jalen Ramsey,4,0,34,18
Terrance Mitchell,4,0,40,40
Xavien Howard,4,1,71,30
Casey Hayward,4,0,7,7
Duron Harmon,4,0,12,12
Tashaun Gipson,4,0,83,67
Kendall Fuller,4,0,4,3
Barry Church,4,1,51,51
Brandon Carr,4,0,57,33
Kenny Vaccaro,3,0,41,30
Darian Stewart,3,0,33,24
Telvin Smith,3,1,56,28
Jimmy Smith,3,1,58,50
Ryan Shazier,3,0,2,2
Glover Quin,3,1,62,37
Jalen Mills,3,1,53,37
Rashaan Melvin,3,0,28,21
Rodney McLeod,3,0,67,50
Jason McCourty,3,1,59,56
Robert McClain,3,1,53,47
Luke Kuechly,3,0,23,23
Lamarcus Joyner,3,1,104,46
Deion Jones,3,0,42,41
Janoris Jenkins,3,2,113,53
Malik Hooker,3,0,73,32
Jeff Heath,3,0,20,14
Andre Hal,3,0,10,7
Brent Grimes,3,0,67,39
Justin Evans,3,0,28,15
Quandre Diggs,3,0,28,16
Sean Davis,3,0,76,41
Ronald Darby,3,0,42,37
Ross Cockrell,3,0,1,1
Ha Ha Clinton-Dix,3,0,5,3
Mark Barron,3,0,29,15
Kwon Alexander,3,0,70,28
Daryl Worley,2,0,0,0
Ahkello Witherspoon,2,0,42,23
Trevor Williams,2,0,28,21
Tramon Williams,2,0,12,12
P.J. Williams,2,0,7,7
Lardarius Webb,2,0,10,10
Trae Waynes,2,0,21,18
Bobby Wagner,2,0,7,7
Desmond Trufant,2,0,43,43
Earl Thomas,2,1,97,78
Sean Smith,2,0,8,8
Preston Smith,2,0,26,18
Justin Simmons,2,1,65,65
Richard Sherman,2,0,20,19
Kelvin Sheppard,2,0,17,12
Andrew Sendejo,2,0,70,36
Nickell Robey-Coleman,2,0,56,31
Craig Robertson,2,0,20,20
Xavier Rhodes,2,0,23,21
Eric Reid,2,0,0,0
Adrian Phillips,2,0,13,9
Kevin Peterson,2,0,42,38
Ron Parker,2,0,0,0
C.J. Mosley,2,1,94,63
Bobby McCain,2,0,6,6
Marcus Maye,2,0,44,32
Tyrann Mathieu,2,0,16,15
Johnathan Joseph,2,1,85,82
Reshad Jones,2,0,15,15
Trumaine Johnson,2,1,39,39
Malcolm Jenkins,2,0,0,0
Eddie Jackson,2,1,82,76
Marlon Humphrey,2,0,33,18
Mike Hilton,2,0,45,26
Chris Harris,2,0,36,23
Corey Graham,2,0,73,59
Stephon Gilmore,2,0,59,39
Kyle Fuller,2,0,0,0
Matthias Farley,2,0,9,9
Rasul Douglas,2,0,7,7
Darqueze Dennard,2,1,109,89
Landon Collins,2,0,21,21
Justin Coleman,2,2,58,30
Dylan Cole,2,1,28,25
Bryce Callahan,2,0,73,52
Malcolm Butler,2,0,0,1
Anthony Brown,2,0,16,16
Terrence Brooks,2,0,13,13
James Bradberry,2,0,3,3
Ray-Ray Armstrong,2,0,29,29
Mike Adams,2,0,42,40
Shareece Wright,1,0,54,54
K.J. Wright,1,0,1,1
Xavier Woods,1,0,7,7
Tavon Wilson,1,0,23,23
Quincy Wilson,1,0,33,33
Vince Williams,1,0,13,13
Shawn Williams,1,0,7,7
Marcus Williams,1,0,2,2
Leonard Williams,1,0,6,6
K'Waun Williams,1,0,27,27
Muhammad Wilkerson,1,0,3,3
Michael Wilhoite,1,0,0,0
J.J. Wilcox,1,0,0,0
Tahir Whitehead,1,0,18,18
Kayvon Webster,1,0,0,0
T.J. Watt,1,0,17,17
Nick Vigil,1,0,0,0
Olivier Vernon,1,0,0,0
Danny Trevathan,1,0,8,8
Korey Toomer,1,1,59,59
Darian Thompson,1,0,0,0
Steven Terrell,1,0,8,8
Jaquiski Tartt,1,0,37,37
Aqib Talib,1,1,103,103
Daniel Sorensen,1,0,3,3
Tye Smith,1,0,14,14
Terrance Smith,1,0,7,7
Buster Skrine,1,0,0,0
LeShaun Sims,1,0,0,0
John Simon,1,1,26,26
Coty Sensabaugh,1,0,32,32
Da'Norris Searcy,1,0,8,8
Joe Schobert,1,0,8,8
Bradley Roby,1,0,0,0
Rashard Robinson,1,0,0,0
A'Shawn Robinson,1,1,2,2
Darryl Roberts,1,0,0,0
Curtis Riley,1,0,2,2
Sheldon Richardson,1,0,5,5
Vincent Rey,1,0,12,12
Sheldon Rankins,1,0,27,27
Hayes Pullard,1,0,1,1
Eddie Pleasant,1,0,0,0
Patrick Peterson,1,0,22,22
Jabrill Peppers,1,0,0,0
Will Parks,1,0,0,0
Alec Ogletree,1,1,41,41
Montae Nicholson,1,0,0,0
Terence Newman,1,0,3,3
Reggie Nelson,1,0,3,3
Keanu Neal,1,0,19,19
Kenny Moore II,1,0,25,25
Matt Milano,1,0,15,15
T.J. McDonald,1,0,7,7
Devin McCourty,1,0,0,0
Byron Maxwell,1,0,0,0
Blake Martinez,1,0,3,3
Kareem Martin,1,0,7,7
Cory Littleton,1,0,2,2
Jourdan Lewis,1,0,25,25
Anthony Levine,1,0,8,8
Sean Lee,1,0,9,9
