Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Antonio Brown,101,1533,9,27,7,57,71,0.703,3,0,162
Julio Jones,88,1444,3,23,4,53,67,0.761,0,0,149
Keenan Allen,102,1393,6,18,4,51,74,0.725,1,0,159
DeAndre Hopkins,96,1378,13,24,2,72,69,0.719,1,0,176
Adam Thielen,91,1276,4,20,5,65,59,0.648,3,0,143
Michael Thomas,104,1245,5,22,1,43,70,0.673,0,0,149
Tyreek Hill,75,1183,7,15,9,79,41,0.547,0,0,105
Larry Fitzgerald,109,1156,6,16,0,37,66,0.606,1,0,162
Marvin Jones,61,1101,9,20,6,58,44,0.721,0,0,108
Rob Gronkowski,69,1084,8,18,2,53,57,0.826,1,0,106
Brandin Cooks,65,1082,7,18,7,64,42,0.646,0,0,114
A.J. Green,75,1078,8,9,4,77,55,0.733,2,0,145
Travis Kelce,83,1038,8,19,1,44,55,0.663,0,0,123
Golden Tate,92,1003,5,10,3,71,44,0.478,1,0,122
Mike Evans,71,1001,5,9,2,42,55,0.775,1,0,135
Doug Baldwin,75,991,8,18,3,54,44,0.587,0,0,117
Jarvis Landry,112,987,9,6,1,49,60,0.536,3,0,160
T.Y. Hilton,57,966,4,14,6,80,38,0.667,2,0,108
Marquise Goodwin,56,962,2,13,5,83,46,0.821,0,0,105
Demaryius Thomas,83,949,5,15,1,40,53,0.639,1,0,141
Robby Anderson,63,941,7,17,3,69,36,0.571,0,0,114
JuJu Smith-Schuster,58,917,7,12,6,97,39,0.672,0,0,80
Davante Adams,74,885,10,8,3,55,45,0.608,0,0,117
Cooper Kupp,62,869,5,12,2,64,42,0.677,1,0,95
Stefon Diggs,64,849,8,14,3,59,42,0.656,0,0,95
Kenny Stills,58,847,6,14,2,61,36,0.621,4,0,106
Devin Funchess,63,840,8,15,1,44,40,0.635,0,0,113
Dez Bryant,69,838,6,8,2,50,44,0.638,1,0,133
Alvin Kamara,81,826,5,11,1,40,38,0.469,0,0,100
Zach Ertz,74,824,8,7,2,53,46,0.622,1,0,110
Jermaine Kearse,65,810,5,9,4,51,37,0.569,1,0,103
Delanie Walker,74,807,3,9,1,42,43,0.581,2,0,111
Rishard Matthews,53,795,4,13,2,75,36,0.679,0,0,87
Alshon Jeffery,57,789,9,8,1,53,44,0.772,0,0,120
Jamison Crowder,66,789,3,12,1,41,37,0.561,1,0,104
Todd Gurley,64,788,6,12,4,80,32,0.5,0,0,87
Ted Ginn,53,787,4,15,5,54,32,0.604,0,0,70
Robert Woods,56,781,5,12,2,94,36,0.643,1,0,85
Nelson Agholor,62,768,8,9,3,72,35,0.565,0,0,95
Mike Wallace,52,748,4,11,4,66,33,0.635,0,0,92
Keelan Cole,42,748,3,11,4,75,32,0.762,2,0,81
Sterling Shepard,59,731,2,7,3,77,36,0.61,1,0,84
Tyrell Williams,43,728,4,12,3,75,29,0.674,1,0,69
Evan Engram,64,722,6,11,0,35,37,0.578,0,0,115
