Player,Rec,Yds,TD,20+,40+,Lng,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Michael Thomas,149,1725,9,17,3,49,91,0.611,1,0,185
Julio Jones,99,1394,6,21,3,54,77,0.778,1,0,157
Chris Godwin,86,1333,9,25,3,71,63,0.733,0,0,120
Travis Kelce,97,1229,5,13,3,47,65,0.67,1,0,136
DeVante Parker,72,1202,9,21,7,51,58,0.806,0,0,128
Keenan Allen,104,1199,6,15,1,45,63,0.606,0,0,149
Kenny Golladay,65,1190,11,22,6,75,52,0.8,1,0,116
Amari Cooper,79,1189,8,17,6,53,54,0.684,0,0,119
D.J. Moore,87,1175,4,13,4,52,63,0.724,2,0,135
Jarvis Landry,83,1174,6,20,2,65,55,0.663,0,0,138
DeAndre Hopkins,104,1165,7,16,1,43,68,0.654,0,0,150
Cooper Kupp,94,1161,10,21,4,66,51,0.543,3,0,134
Mike Evans,67,1157,8,17,7,67,54,0.806,0,0,118
Allen Robinson,98,1147,7,15,1,49,63,0.643,0,0,154
Darren Waller,90,1145,3,14,2,75,53,0.589,1,0,117
Robert Woods,90,1134,2,14,1,48,54,0.6,0,0,139
Stefon Diggs,63,1130,6,20,8,66,41,0.651,4,0,94
Julian Edelman,100,1117,6,13,1,44,54,0.54,3,0,153
Courtland Sutton,72,1112,6,18,6,70,50,0.694,2,0,124
Michael Gallup,66,1107,6,18,5,62,50,0.758,0,0,113
John Brown,72,1060,6,17,3,53,53,0.736,0,0,115
Tyler Lockett,82,1057,8,15,3,44,53,0.646,1,0,110
George Kittle,85,1053,5,16,2,61,53,0.624,1,0,107
A.J. Brown,52,1051,8,15,8,91,39,0.75,1,0,84
Tyler Boyd,90,1046,5,12,3,47,51,0.567,2,0,148
Odell Beckham Jr.,74,1035,4,16,3,89,44,0.595,0,0,133
D.J. Chark,73,1008,8,17,1,69,42,0.575,0,0,118
Christian McCaffrey,116,1005,4,7,0,28,58,0.5,0,0,142
Mike Williams,49,1001,2,17,8,56,41,0.837,0,0,90
Davante Adams,83,997,5,12,2,58,54,0.651,2,0,127
Austin Ekeler,92,993,8,9,3,84,42,0.457,2,0,108
Terry McLaurin,58,919,7,15,3,75,43,0.741,0,0,93
Zach Ertz,88,916,6,12,0,30,50,0.568,1,0,135
DK Metcalf,58,900,7,13,4,54,39,0.672,3,0,100
Emmanuel Sanders,66,869,5,11,3,128,41,0.621,0,0,97
Calvin Ridley,63,866,7,12,0,36,47,0.746,0,0,93
Tyreek Hill,58,860,7,11,6,57,39,0.672,0,0,89
Mark Andrews,64,852,10,16,1,51,44,0.688,2,0,98
Jamison Crowder,78,833,6,11,1,41,41,0.526,0,0,122
Randall Cobb,55,828,3,15,2,59,41,0.745,2,0,83
Larry Fitzgerald,75,804,4,10,4,54,40,0.533,1,0,109
Deebo Samuel,57,802,3,17,1,42,32,0.561,2,0,81
Austin Hooper,75,787,6,8,0,35,41,0.547,0,0,97
Marvin Jones,62,779,9,12,1,47,41,0.661,0,0,91
Robby Anderson,52,779,5,13,2,92,35,0.673,1,0,96
Cole Beasley,67,778,6,10,1,51,37,0.552,0,0,106
Chris Conley,47,775,5,13,3,70,36,0.766,0,0,90
Darius Slayton,48,740,8,12,3,55,32,0.667,0,0,84
James Washington,44,735,3,13,4,79,31,0.705,1,0,77
Tyler Higbee,69,734,3,11,0,33,36,0.522,0,0,89
Christian Kirk,68,709,3,6,1,69,31,0.456,0,0,107
Jared Cook,43,705,9,15,2,61,32,0.744,0,0,65
Diontae Johnson,59,680,5,7,2,45,31,0.525,3,0,92
Danny Amendola,62,678,1,6,2,47,36,0.581,0,0,97
Golden Tate,49,676,6,10,3,64,30,0.612,1,0,85
Sammy Watkins,52,673,3,9,2,68,30,0.577,2,0,90
Will Fuller,49,670,3,10,4,54,26,0.531,1,0,71
Dede Westbrook,66,660,3,10,0,39,31,0.47,0,0,101
Anthony Miller,52,656,2,11,0,35,34,0.654,0,0,85
Hunter Henry,55,652,5,8,0,30,36,0.655,1,0,76
Tyrell Williams,42,651,6,12,4,46,33,0.786,0,0,64
James White,72,645,5,9,1,59,31,0.431,0,0,95
Breshad Perriman,36,645,6,15,1,44,29,0.806,0,0,70
Curtis Samuel,54,627,6,8,1,44,36,0.667,0,0,105
Zach Pascal,41,607,5,11,0,37,29,0.707,0,0,72
Dallas Goedert,58,607,5,8,0,28,33,0.569,2,0,87
Hunter Renfrow,49,605,4,7,2,65,31,0.633,0,0,71
Corey Davis,43,601,2,10,0,38,33,0.767,1,0,69
Greg Olsen,52,597,2,6,1,41,34,0.654,0,0,82
Marquise Brown,46,584,7,8,4,83,24,0.522,0,0,71
Brandin Cooks,42,583,2,9,1,57,32,0.762,0,0,72
Sterling Shepard,57,576,3,8,0,36,29,0.509,0,0,83
Auden Tate,40,575,1,8,0,33,29,0.725,1,0,80
Mike Gesicki,51,570,5,7,0,34,25,0.49,1,0,89
Noah Fant,40,562,3,10,3,75,23,0.575,1,0,66
Kenny Stills,40,561,4,9,2,45,27,0.675,0,0,55
JuJu Smith-Schuster,42,552,3,7,2,76,23,0.548,1,0,70
Mecole Hardman,26,538,6,9,4,83,18,0.692,0,0,41
Alvin Kamara,81,533,1,2,1,41,28,0.346,1,0,97
Jason Witten,63,529,4,2,0,33,27,0.429,1,0,83
Alex Erickson,43,529,0,5,2,52,26,0.605,1,0,78
Leonard Fournette,76,522,0,3,0,27,23,0.303,1,0,100
Mohamed Sanu,59,520,2,3,0,50,30,0.508,0,0,89
Dalvin Cook,53,519,0,7,0,31,26,0.491,1,0,63
Miles Sanders,50,509,3,8,2,45,19,0.38,0,0,63
John Ross,28,506,3,10,2,66,22,0.786,1,0,56
T.Y. Hilton,45,501,5,6,0,35,24,0.533,0,0,68
