Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,193,73,10,5,201,60.7,98,23.2,1003
Bears,200,82,15,9,177,51.5,108,23.1,1013
Bengals,187,69,17,9,182,55.0,92,25.6,938
Bills,215,68,18,7,137,50.6,108,23.1,1008
Broncos,207,69,25,15,181,49.3,107,27.2,1015
Browns,208,73,21,9,189,53.5,93,22.6,1023
Buccaneers,187,86,13,9,265,65.0,80,20.6,1055
Cardinals,199,58,16,6,137,48.4,76,21.4,902
Chargers,177,70,8,7,213,61.2,100,25.1,945
Chiefs,176,83,15,12,239,62.1,108,27.9,996
Colts,214,104,15,7,237,54.9,96,23.5,1070
Cowboys,215,89,21,12,184,51.7,113,25.7,1022
Dolphins,186,56,13,8,153,52.4,75,20.2,878
Eagles,205,84,23,14,221,52.4,94,23.6,1037
Falcons,203,92,19,10,238,55.6,84,23.9,1010
Giants,206,76,20,12,208,54.5,71,20.1,984
Jaguars,230,93,17,8,164,49.8,92,22.1,1005
Jets,214,69,22,11,157,52.5,84,20.5,971
Lions,208,75,18,11,201,53.6,91,22.5,1019
Packers,204,75,20,10,208,53.1,98,29.4,1026
Panthers,185,77,19,9,212,56.1,117,28.1,1011
Patriots,201,82,14,7,206,54.5,131,27.4,1073
Raiders,197,73,16,7,197,51.6,86,22.2,995
Rams,191,86,15,6,236,64.1,134,29.2,1060
Ravens,231,104,22,13,184,55.1,153,28.0,1135
Redskins,206,75,18,10,156,50.2,96,23.2,967
Saints,184,82,16,13,210,55.1,134,28.5,1010
Seahawks,208,81,14,11,156,55.7,133,24.9,1012
Steelers,198,88,14,9,251,54.7,88,25.5,1058
Texans,208,77,12,8,202,58.6,94,19.9,1040
Titans,205,82,12,7,156,53.2,106,23.3,938
Vikings,204,73,21,9,218,51.3,66,18.5,1003
