Team,Att,Cmp,Cmp %,Yds/Att,Yds,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck
49ers,542,344,63.5,7.3,3732,35,2,105.4,195,36.0,49,9,75T,37
Bears,615,377,61.3,6.3,3515,22,27,72.9,186,30.2,39,9,75T,50
Bengals,584,389,66.6,7.9,4414,32,12,100.0,221,37.8,60,13,72T,34
Bills,492,313,63.6,6.3,2867,22,16,82.6,157,31.9,36,2,43,36
Broncos,549,353,64.3,7.7,3929,26,17,90.7,197,35.9,56,9,97T,44
Browns,626,393,62.8,7.0,4125,21,17,83.4,216,34.5,51,8,67,37
Buccaneers,534,387,72.5,8.2,4151,34,9,110.9,209,39.1,56,6,75T,38
Cardinals,506,342,67.6,7.1,3262,21,7,96.1,186,36.8,37,5,64T,49
Chargers,548,351,64.1,7.1,3646,23,13,89.1,178,32.5,52,9,82T,38
Chiefs,632,406,64.2,7.5,4374,30,15,92.7,247,39.1,65,8,49,52
Colts,542,384,70.8,7.4,3805,21,15,93.5,203,37.5,41,4,80T,38
Cowboys,542,367,67.7,7.4,3755,22,9,95.7,193,35.6,43,7,53T,39
Dolphins,508,335,65.9,8.2,3932,31,21,94.1,195,38.4,59,11,73T,31
Eagles,626,417,66.6,7.4,4308,22,10,93.4,215,34.3,60,6,75T,44
Falcons,585,398,68.0,7.5,4153,33,15,98.3,226,38.6,46,7,58,37
Giants,560,362,64.6,7.6,4044,24,16,89.8,205,36.6,61,8,79T,30
Jaguars,499,312,62.5,6.7,3113,17,11,84.4,162,32.5,37,6,78T,37
Jets,582,367,63.1,7.5,4065,29,13,93.1,201,34.5,58,11,70T,39
Lions,496,323,65.1,7.9,3599,29,7,102.7,191,38.5,50,10,82,43
Packers,527,336,63.8,7.7,3752,30,7,100.9,199,37.8,54,7,75T,44
Panthers,529,353,66.7,7.7,3847,32,13,99.6,185,35.0,51,12,75T,35
Patriots,605,370,61.2,6.9,3943,29,18,85.4,208,34.4,57,9,75T,30
Raiders,480,299,62.3,8.2,3853,36,14,101.0,178,37.1,59,15,89T,13
Rams,533,347,65.1,7.7,3780,31,18,93.8,185,34.7,59,14,73T,41
Ravens,577,337,58.4,6.3,3360,21,12,80.6,174,30.2,44,7,64,43
Redskins,537,362,67.4,7.6,3794,27,15,95.1,197,36.7,52,9,90T,46
Saints,573,384,67.0,8.1,4302,30,12,100.3,224,39.1,57,14,75T,49
Seahawks,546,355,65.0,7.5,3842,26,12,94.3,201,36.8,58,8,75T,43
Steelers,566,362,64.0,7.1,3697,27,8,95.2,200,35.3,53,7,71,52
Texans,594,385,64.8,7.5,4167,28,15,92.7,200,33.7,55,13,83T,43
Titans,533,337,63.2,7.0,3471,21,11,88.4,182,34.1,48,7,75T,39
Vikings,503,315,62.6,7.0,3140,15,12,83.3,160,31.8,43,10,70T,50
