Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,11,5,0,4,6
Bears,18,9,1,4,5
Bengals,10,6,2,3,3
Bills,21,11,0,4,10
Broncos,13,10,0,3,6
Browns,18,14,0,8,6
Buccaneers,12,8,1,4,5
Cardinals,13,9,2,5,3
Chargers,7,7,1,3,6
Chiefs,23,12,1,3,6
Colts,15,11,0,7,5
Cowboys,14,11,1,5,7
Dolphins,11,7,0,7,3
Eagles,12,7,0,3,6
Falcons,8,4,1,1,10
Giants,11,5,0,4,7
Jaguars,7,6,0,0,5
Jets,13,7,0,3,4
Lions,10,7,0,2,5
Packers,10,8,0,3,6
Panthers,13,9,1,2,9
Patriots,14,10,1,5,8
Raiders,5,3,0,1,6
Rams,13,12,1,2,4
Ravens,9,5,3,4,2
Redskins,19,11,1,9,3
Saints,19,12,0,9,4
Seahawks,18,14,1,5,7
Steelers,13,7,1,2,5
Texans,20,14,1,6,6
Titans,12,6,0,4,2
Vikings,8,8,2,1,12
