Team,FR TD,SFTY,INT TD
49ers,0,1,1
Bears,1,1,5
Bengals,2,0,3
Bills,0,1,0
Broncos,0,0,2
Browns,0,1,0
Buccaneers,1,0,0
Cardinals,2,0,0
Chargers,1,0,1
Chiefs,1,0,3
Colts,0,0,0
Cowboys,1,0,0
Dolphins,0,0,3
Eagles,0,0,0
Falcons,1,0,1
Giants,0,0,3
Jaguars,0,2,2
Jets,0,0,3
Lions,0,0,2
Packers,0,0,1
Panthers,1,0,0
Patriots,1,0,1
Raiders,0,0,1
Rams,1,2,3
Ravens,3,0,0
Redskins,1,0,0
Saints,0,0,1
Seahawks,1,0,1
Steelers,1,2,2
Texans,1,0,3
Titans,0,0,2
Vikings,2,0,1
