Team,3rd Att,3rd Md,4th Att,4th Md,Rec 1st,Rec 1st%,Rush 1st,Rush 1st%,Scrm Plys
49ers,216,87,17,10,195,56.7,104,23.4,1023
Bears,219,75,28,16,186,49.3,67,19.8,1004
Bengals,223,109,17,11,221,56.8,125,26.8,1084
Bills,203,74,11,6,157,50.2,111,25.2,968
Broncos,211,82,11,6,197,55.8,85,19.8,1022
Browns,210,75,20,13,216,55.0,130,28.3,1122
Buccaneers,181,73,14,7,209,54.0,122,28.6,998
Cardinals,205,78,13,8,186,54.4,139,27.3,1065
Chargers,202,79,20,11,178,50.7,101,25.6,981
Chiefs,193,80,27,18,247,60.8,129,30.4,1109
Colts,200,82,15,7,203,52.9,87,21.0,995
Cowboys,201,85,14,6,193,52.6,89,22.3,981
Dolphins,196,84,15,6,195,58.2,116,23.9,1024
Eagles,201,71,19,11,215,51.6,71,21.4,1002
Falcons,195,95,13,10,226,56.8,115,28.1,1031
Giants,206,87,17,14,205,56.6,103,23.2,1034
Jaguars,212,80,12,3,162,51.9,89,20.5,970
Jets,213,72,14,9,201,54.8,104,23.6,1061
Lions,186,69,17,9,191,59.1,88,21.8,942
Packers,212,79,18,12,199,59.2,100,22.4,1017
Panthers,183,73,17,10,185,52.4,110,28.6,948
Patriots,197,76,16,6,208,56.2,93,25.3,1002
Raiders,201,93,12,8,178,59.5,108,22.5,973
Rams,188,70,15,9,185,53.3,101,26.2,960
Ravens,211,72,20,10,174,51.6,82,23.2,974
Redskins,196,86,13,5,197,54.4,109,26.4,996
Saints,189,78,29,14,224,58.3,72,20.2,978
Seahawks,183,64,13,6,201,56.6,91,24.9,955
Steelers,197,72,13,7,200,55.2,84,22.8,987
Texans,227,91,20,12,200,51.9,76,19.7,1022
Titans,205,75,20,11,182,54.0,98,22.8,1001
Vikings,190,58,19,9,160,50.8,107,24.3,993
