Team,Rsh TD,Rec TD,Tot TD,2-PT
49ers,7,26,35,2
Bears,16,28,50,4
Bengals,13,27,45,1
Bills,15,13,29,1
Broncos,18,19,39,0
Browns,15,29,44,4
Buccaneers,11,36,49,1
Cardinals,9,15,27,2
Chargers,16,32,51,6
Chiefs,16,50,71,1
Colts,13,39,52,4
Cowboys,13,22,36,2
Dolphins,7,26,38,1
Eagles,12,29,41,5
Falcons,11,36,49,2
Giants,13,23,39,4
Jaguars,7,15,25,0
Jets,11,18,34,0
Lions,11,22,35,0
Packers,14,25,41,3
Panthers,17,28,46,2
Patriots,18,29,51,0
Raiders,9,19,30,1
Rams,23,32,60,5
Ravens,19,18,41,1
Redskins,12,16,29,2
Saints,26,33,60,4
Seahawks,15,35,52,1
Steelers,16,35,54,4
Texans,12,26,42,0
Titans,15,16,34,0
Vikings,9,30,42,3
