Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
49ers,444,1814,4.1,13,11,0,34,104,23.4,6
Bears,339,1280,3.8,5,7,0,32,67,19.8,5
Bengals,466,2204,4.7,17,15,2,65T,125,26.8,3
Bills,440,1839,4.2,17,12,1,43,111,25.2,10
Broncos,429,1913,4.5,11,15,5,77T,85,19.8,6
Browns,459,2163,4.7,20,18,1,52,130,28.3,6
Buccaneers,426,1983,4.7,19,17,2,53,122,28.6,5
Cardinals,510,2479,4.9,25,21,4,65,139,27.3,3
Chargers,395,1693,4.3,11,11,3,43,101,25.6,6
Chiefs,425,2114,5.0,19,11,0,30,129,30.4,6
Colts,415,1626,3.9,12,11,0,34T,87,21.0,5
Cowboys,400,1513,3.8,12,9,1,68,89,22.3,7
Dolphins,485,2325,4.8,17,20,3,71,116,23.9,3
Eagles,332,1551,4.7,14,14,4,90T,71,21.4,6
Falcons,409,1999,4.9,16,13,1,92T,115,28.1,10
Giants,444,1898,4.3,18,11,3,64T,103,23.2,7
Jaguars,434,1870,4.3,16,11,5,99T,89,20.5,5
Jets,440,2021,4.6,16,24,0,38T,104,23.6,4
Lions,403,1761,4.4,11,9,5,70,88,21.8,5
Packers,446,1918,4.3,15,10,1,41,100,22.4,6
Panthers,384,1804,4.7,13,17,2,60,110,28.6,9
Patriots,367,1803,4.9,7,11,1,54T,93,25.3,8
Raiders,480,2249,4.7,16,12,7,63T,108,22.5,6
Rams,386,1957,5.1,12,17,1,51,101,26.2,4
Ravens,354,1327,3.7,11,6,0,35T,82,23.2,2
Redskins,413,1860,4.5,12,6,2,78T,109,26.4,3
Saints,356,1283,3.6,12,7,0,28T,72,20.2,4
Seahawks,366,1811,4.9,9,14,2,59,91,24.9,7
Steelers,369,1538,4.2,13,10,1,51,84,22.8,5
Texans,385,1323,3.4,8,3,0,39,76,19.7,6
Titans,429,1863,4.3,9,7,1,97T,98,22.8,2
Vikings,440,1815,4.1,13,7,3,75T,107,24.3,12
