Team,Rec,Yds,Yds/Rec,TD,20+,40+,Lng,Rec 1st,Rec 1st%,Rec FUM,PDef
49ers,344,3959,11.5,35,49,9,75T,195,56.7,4,37
Bears,377,3854,10.2,22,39,9,75T,186,49.3,4,92
Bengals,389,4587,11.8,32,60,13,72T,221,56.8,3,72
Bills,313,3084,9.9,22,36,2,43,157,50.2,4,70
Broncos,353,4240,12.0,26,56,9,97T,197,55.8,3,79
Browns,393,4370,11.1,21,51,8,67,216,55.0,8,75
Buccaneers,387,4383,11.3,34,56,6,75T,209,54.0,4,54
Cardinals,342,3595,10.5,21,37,5,64T,186,54.4,5,51
Chargers,351,3886,11.1,23,52,9,82T,178,50.7,3,72
Chiefs,406,4721,11.6,30,65,8,49,247,60.8,3,64
Colts,384,4033,10.5,21,41,4,80T,203,52.9,7,60
Cowboys,367,3984,10.9,22,43,7,53T,193,52.6,5,64
Dolphins,335,4141,12.4,31,59,11,73T,195,58.2,7,58
Eagles,417,4619,11.1,22,60,6,75T,215,51.6,3,65
Falcons,398,4408,11.1,33,46,7,58,226,56.8,1,66
Giants,362,4229,11.7,24,61,8,79T,205,56.6,4,73
Jaguars,312,3354,10.8,17,37,6,78T,162,51.9,0,49
Jets,367,4358,11.9,29,58,11,70T,201,54.8,3,72
Lions,323,3897,12.1,29,50,10,82,191,59.1,2,47
Packers,336,4074,12.1,30,54,7,75T,199,59.2,3,59
Panthers,353,4062,11.5,32,51,12,75T,185,52.4,2,69
Patriots,370,4181,11.3,29,57,9,75T,208,56.2,5,64
Raiders,299,3933,13.2,36,59,15,89T,178,59.5,1,67
Rams,347,4106,11.8,31,59,14,73T,185,53.3,2,65
Ravens,337,3651,10.8,21,44,7,64,174,51.6,4,87
Redskins,362,4091,11.3,27,52,9,90T,197,54.4,9,56
Saints,384,4623,12.0,30,57,14,75T,224,58.3,9,67
Seahawks,355,4103,11.6,26,58,8,75T,201,56.6,5,60
Steelers,362,4044,11.2,27,53,7,71,200,55.2,2,67
Texans,385,4477,11.6,28,55,13,83T,200,51.9,6,85
Titans,337,3719,11.0,21,48,7,75T,182,54.0,4,63
Vikings,315,3501,11.1,15,43,10,70T,160,50.8,1,62
