Team,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
49ers,33,34,97.1,0_0,9_9,13_13,10_9,2_2,53,0
Bears,23,30,76.7,0_0,6_6,10_7,12_9,2_1,50,0
Bengals,19,23,82.6,0_0,4_4,8_7,6_6,5_2,51,2
Bills,22,28,78.6,0_0,3_3,8_8,10_7,7_4,54,1
Broncos,20,25,80.0,0_0,5_5,6_6,7_7,7_2,53,0
Browns,19,25,76.0,0_0,4_4,9_9,9_5,3_1,51,1
Buccaneers,20,27,74.1,0_0,5_5,12_11,8_3,2_1,59,0
Cardinals,12,17,70.6,0_0,3_3,4_4,5_3,5_2,55,0
Chargers,24,29,82.8,0_0,8_8,7_7,11_8,3_1,59,0
Chiefs,24,27,88.9,0_0,9_9,7_7,7_6,4_2,54,0
Colts,23,27,85.2,0_0,8_8,7_6,6_5,6_4,54,0
Cowboys,29,36,80.6,0_0,10_10,8_6,11_7,7_6,62,1
Dolphins,18,20,90.0,0_0,7_7,3_3,9_7,1_1,50,0
Eagles,26,31,83.9,0_0,7_7,11_10,8_7,5_2,56,0
Falcons,25,26,96.2,0_0,5_5,5_5,9_9,7_6,57,0
Giants,32,33,97.0,0_0,9_9,13_13,6_6,5_4,57,0
Jaguars,23,26,88.5,0_0,6_6,9_9,5_4,6_4,57,0
Jets,33,36,91.7,0_0,4_4,14_13,11_10,7_6,56,0
Lions,28,32,87.5,0_0,8_8,12_12,7_5,5_3,54,0
Packers,30,37,81.1,0_0,4_4,11_10,15_11,7_5,53,0
Panthers,19,21,90.5,0_0,4_4,7_6,4_4,6_5,63,0
Patriots,27,32,84.4,0_0,11_11,10_10,6_4,5_2,52,0
Raiders,27,32,84.4,0_0,8_8,3_3,15_12,6_4,52,0
Rams,34,41,82.9,1_1,13_12,13_13,8_4,6_4,56,0
Ravens,35,39,89.7,0_0,12_12,9_9,11_9,7_5,56,2
Redskins,26,29,89.7,0_0,5_5,7_7,12_10,5_4,56,0
Saints,28,30,93.3,1_1,5_5,9_9,12_11,3_2,54,1
Seahawks,22,27,81.5,0_0,2_2,11_9,9_8,5_3,56,0
Steelers,16,23,69.6,0_0,3_3,8_6,11_6,1_1,50,1
Texans,37,42,88.1,1_1,9_9,11_11,15_12,6_4,54,0
Titans,26,30,86.7,0_0,6_5,13_13,7_5,4_3,54,0
Vikings,22,32,68.8,0_0,6_5,12_11,12_5,2_1,52,1
