Team,INT,INT TD,INT Yds,Lng
49ers,2,1,55,32T
Bears,27,5,330,49T
Bengals,12,3,222,58T
Bills,16,0,133,37
Broncos,17,2,158,53T
Browns,17,0,100,50
Buccaneers,9,0,97,50
Cardinals,7,0,55,25
Chargers,13,1,247,86
Chiefs,15,3,280,67
Colts,15,0,220,47
Cowboys,9,0,141,49
Dolphins,21,3,321,54
Eagles,10,0,139,29
Falcons,15,1,151,41T
Giants,16,3,191,46
Jaguars,11,2,117,33T
Jets,13,3,318,104
Lions,7,2,148,67T
Packers,7,1,100,27
Panthers,13,0,86,39
Patriots,18,1,156,84T
Raiders,14,1,124,36T
Rams,18,3,290,50T
Ravens,12,0,99,33
Redskins,15,0,203,40
Saints,12,1,259,78
Seahawks,12,1,196,98T
Steelers,8,2,89,35
Texans,15,3,252,101T
Titans,11,2,120,56T
Vikings,12,1,159,52
