Team,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM,FG Blk,XP Blk
49ers,26.2,36,944,1,25,3,97T,0,2,0,0
Bears,19.1,23,440,0,10,0,31,0,0,0,0
Bengals,24.9,43,1071,0,27,5,77,0,0,0,0
Bills,21.2,38,807,0,23,1,49,0,1,0,0
Broncos,20.1,30,604,0,17,0,35,0,2,2,1
Browns,20.1,44,884,0,25,0,35,1,0,2,0
Buccaneers,20.4,31,631,0,16,0,38,0,0,0,0
Cardinals,21.4,25,536,0,12,0,36,0,0,0,0
Chargers,23.3,28,653,0,19,1,40,0,0,0,0
Chiefs,24.4,40,975,0,24,3,97,0,2,0,0
Colts,19.8,17,337,0,9,0,29,0,0,1,1
Cowboys,21.8,13,283,0,9,0,35,0,0,0,0
Dolphins,24.1,39,938,1,25,1,102T,0,0,1,0
Eagles,22.0,33,725,0,22,1,48,0,0,0,0
Falcons,22.2,31,689,0,18,3,53,0,0,0,0
Giants,24.4,45,1097,0,33,4,51,0,1,0,0
Jaguars,20.5,26,532,0,15,2,47,0,0,0,0
Jets,26.9,46,1238,1,30,7,99T,1,2,1,1
Lions,24.1,20,482,0,16,1,45,0,1,0,0
Packers,21.5,30,644,0,22,0,38,0,2,0,0
Panthers,22.4,26,582,0,17,0,37,0,1,0,0
Patriots,27.0,28,755,1,21,2,95T,0,1,0,0
Raiders,22.9,29,663,0,21,0,34,0,1,0,1
Rams,21.4,39,834,0,23,1,40,0,0,0,0
Ravens,22.1,32,707,0,21,0,39,0,0,0,0
Redskins,19.7,29,570,0,13,1,44,0,0,0,0
Saints,24.3,23,560,0,17,2,50,0,0,0,0
Seahawks,23.1,29,669,0,16,2,84,0,0,1,0
Steelers,19.3,32,619,0,19,0,35,0,0,2,0
Texans,24.4,20,487,0,13,0,36,0,1,0,0
Titans,32.0,23,737,1,20,3,94T,0,0,0,0
Vikings,24.5,22,540,0,17,1,46,0,0,0,0
