Team,Avg,Ret,Yds,PRet T,20+,40+,Lng,FC,FUM,P Blk
49ers,5.8,31,180,0,1,0,23,18,5,0
Bears,12.5,33,411,0,7,2,44,21,4,0
Bengals,10.7,22,236,0,3,0,38,21,2,1
Bills,6.7,31,207,0,2,0,31,17,4,0
Broncos,4.4,30,132,0,1,0,20,17,0,1
Browns,9.1,32,290,0,3,0,37,24,2,0
Buccaneers,6.3,26,163,0,0,0,16,15,2,0
Cardinals,8.2,36,295,0,3,2,45,21,1,1
Chargers,10.5,34,358,1,6,2,73T,15,4,0
Chiefs,11.9,22,261,1,3,2,91T,3,1,1
Colts,9.0,24,217,0,3,1,51,28,1,0
Cowboys,5.7,21,119,0,1,0,22,25,0,0
Dolphins,10.5,28,293,1,3,1,71T,16,4,1
Eagles,6.5,33,216,0,2,1,42,11,5,0
Falcons,7.0,21,147,0,0,0,18,24,1,1
Giants,6.2,37,231,0,2,0,23,13,4,0
Jaguars,9.8,34,334,1,6,2,74T,16,2,0
Jets,13.0,25,324,1,3,3,78T,28,3,1
Lions,6.3,27,171,0,1,0,25,20,2,0
Packers,6.6,30,198,0,2,0,24,19,8,1
Panthers,6.9,24,165,0,1,0,30,16,2,0
Patriots,7.7,26,199,0,3,0,25,15,2,2
Raiders,11.6,25,291,1,2,2,99T,19,2,0
Rams,10.2,30,307,0,4,1,60,15,2,2
Ravens,11.5,35,404,1,5,3,70T,29,4,0
Redskins,6.5,17,110,0,1,0,30,23,2,0
Saints,6.5,24,157,0,0,0,17,18,2,2
Seahawks,5.7,25,143,0,0,0,19,20,1,0
Steelers,8.1,31,252,0,3,0,23,26,3,1
Texans,8.6,38,327,0,3,0,30,16,3,1
Titans,8.8,27,237,0,2,0,38,11,4,0
Vikings,10.9,29,315,0,6,1,70,21,1,0
