Player,FGM,Att,FG %,1-19 > A-M,20-29 > A-M,30-39 > A-M,40-49 > A-M,50+ > A-M,Lng,FG Blk
Younghoe Koo,37,39,0.949,0,10/10,11/12,8/9,8/8,54,0
Jason Sanders,36,39,0.923,1/1,8/8,7/7,12/14,8/9,56,0
Greg Zuerlein,34,41,0.829,1/1,5/5,13/13,12/13,3/9,59,0
Daniel Carlson,33,35,0.943,0,18/18,8/8,3/5,4/4,54,0
Rodrigo Blankenship,32,37,0.865,0,10/10,12/13,9/11,1/3,53,0
Graham Gano,31,32,0.969,0,4/4,13/13,9/9,5/6,55,0
Cairo Santos,30,32,0.938,0,9/9,10/10,9/10,2/3,55,0
Joey Slye,29,36,0.806,0,11/12,10/10,7/8,1/6,56,1
Ryan Succop,28,31,0.903,1/1,10/10,9/9,7/9,1/2,50,1
Brandon McManus,28,34,0.824,0,6/6,4/5,8/8,10/15,58,2
Tyler Bass,28,34,0.824,1/1,9/9,6/9,8/9,4/6,58,0
Dustin Hopkins,27,34,0.794,0,5/5,7/8,13/17,2/4,51,0
Ka'imi Fairbairn,27,31,0.871,0,8/8,9/9,6/8,4/6,54,0
Justin Tucker,26,29,0.897,0,8/8,6/7,9/9,3/5,55,0
Nick Folk,26,28,0.929,0,6/6,7/7,11/12,2/3,51,0
Harrison Butker,25,27,0.926,2/2,7/7,9/9,3/5,4/4,58,0
Jason Myers,24,24,1.0,0,2/2,7/7,13/13,2/2,61,0
Mike Badgley,24,33,0.727,0,8/8,6/6,8/13,2/6,53,1
Wil Lutz,23,28,0.821,0,5/6,10/10,7/9,1/3,53,0
Matt Prater,21,28,0.75,0,4/4,7/7,4/7,6/10,59,0
Randy Bullock,21,25,0.84,0,3/3,8/10,7/8,3/4,55,0
Cody Parkey,19,22,0.864,0,5/5,4/6,10/11,0,46,1
Robbie Gould,19,21,0.905,0,3/3,5/5,9/9,2/4,52,0
Chris Boswell,19,20,0.95,0,5/5,6/6,7/8,1/1,59,0
Sam Sloman,18,24,0.75,0,4/6,11/11,3/5,2,131,2
Stephen Gostkowski,18,26,0.692,0,2/3,4/5,5/10,7/8,55,2
Zane Gonzalez,16,21,0.762,0,4/4,2/2,8/12,2/3,56,0
Mason Crosby,16,16,1.0,1/1,1/1,5/5,5/5,4/4,57,0
Dan Bailey,15,22,0.682,0,6/6,3/4,4/7,2/5,53,0
Matt Gay,14,16,0.875,0,2/2,5/6,6/7,1/1,51,0
Jake Elliott,14,19,0.737,0,1/3,6/6,5/5,2/5,54,0
Sam Ficken,13,15,0.867,0,5/5,6/6,1/1,1/3,54,1
Aldrick Rosas,8,11,0.727,0,3/3,2/2,1,3/5,54,1
Chase McLaughlin,8,10,0.8,0,2/2,2/2,2/2,2/4,104,0
Sergio Castillo,8,13,0.615,0,1/2,3/4,2/5,2/2,55,1
Mike Nugent,7,7,1.0,0,1/1,4/4,2/2,0,43,0
Austin Seibert,6,10,0.6,0,0,5/5,1/4,1,48,0
Josh Lambo,5,5,1.0,0,0,2/2,1/1,2/2,59,0
Matthew Wright,4,4,1.0,0,1/1,1/1,2/2,0,46,0
Tristan Vizcaino,3,3,1.0,0,0,2/2,1/1,0,47,0
Kai Forbath,2,3,0.667,0,2/2,0,1,0,23,0
Elliott Fry,1,1,1.0,0,1/1,0,0,0,23,0
Jon Brown,1,2,0.5,0,0,1/2,0,0,31,0
